Ssn,TestTrial,Cond,WordCategory,StudyTrial,Cue,Target,Resp,Corr,Conf,RespType,OldSsn,OldRespType,nCorr,NoRec,Incorr,SimpleResp,Expt
6,16,2,1,16,18,trial,looking,0,2,4,6,12,0,0,1,3,1
6,17,2,2,12,139,gross,gross,1,6,1,6,1,1,0,0,1,1
6,18,1,1,9,39,everybody,stock,0,2,5,6,3,0,0,1,3,1
6,19,1,1,10,73,pure,everybody,0,3,4,6,12,0,0,1,3,1
6,20,1,2,15,140,looking,everybody,0,3,3,6,11,0,0,1,3,1
6,21,2,1,6,95,dress,hotel,0,1,4,6,12,0,0,1,3,1
6,22,1,1,18,34,event,looking,0,2,4,6,12,0,0,1,3,1
6,23,2,1,5,161,stock,voting,0,1,5,6,3,0,0,1,3,1
6,24,1,2,20,65,objects,stock,0,3,5,6,3,0,0,1,3,1
7,1,2,2,23,183,session,honest,0,2,7,7,7,0,0,1,3,1
7,2,1,1,24,30,period,period,1,4,1,7,1,1,0,0,1,1
7,3,2,1,3,193,began,hour,0,1,5,7,3,0,0,1,3,1
7,4,1,2,18,8,made,sure,0,2,7,7,7,0,0,1,3,1
7,5,2,2,4,184,caused,John,0,4,5,7,3,0,0,1,3,1
7,6,1,2,9,109,stage,hour,0,1,5,7,3,0,0,1,3,1
7,7,2,2,13,89,John,John,1,2,1,7,1,1,0,0,1,1
7,8,2,1,15,125,direct,honest,0,1,7,7,7,0,0,1,3,1
7,9,2,1,16,177,hour,lord,0,4,4,7,12,0,0,1,3,1
7,10,1,1,5,96,begins,built,0,2,3,7,11,0,0,1,3,1
7,11,1,1,8,166,handle,once,0,1,7,7,7,0,0,1,3,1
7,12,2,1,11,75,worse,lord,0,2,4,7,12,0,0,1,3,1
7,13,2,2,12,18,actual,first,0,1,7,7,7,0,0,1,3,1
7,14,2,2,1,42,fashion,period,0,1,4,7,12,0,0,1,3,1
7,15,1,1,2,168,final,first,0,2,7,7,7,0,0,1,3,1
7,16,1,2,6,41,built,built,1,2,1,7,1,1,0,0,1,1
7,17,1,2,7,139,give,hammer,0,2,7,7,7,0,0,1,3,1
7,18,1,2,10,38,weather,John,0,1,5,7,3,0,0,1,3,1
7,19,1,2,17,120,types,period,0,2,4,7,12,0,0,1,3,1
7,20,1,1,19,135,lord,lord,1,1,1,7,1,1,0,0,1,1
7,21,2,1,20,176,enter,lord,0,3,4,7,12,0,0,1,3,1
7,22,2,2,21,74,teeth,first,0,2,7,7,7,0,0,1,3,1
7,23,1,1,14,107,pulled,lisa,0,1,7,7,7,0,0,1,3,1
7,24,2,1,22,7,clearly,first,0,1,7,7,7,0,0,1,3,1
8,1,1,2,4,83,clean,clean,1,4,1,8,1,1,0,0,1,1
8,2,1,2,8,52,course,course,1,3,1,8,1,1,0,0,1,1
8,3,1,1,9,202,legs,legs,1,2,1,8,1,1,0,0,1,1
8,4,2,1,3,171,gives,ready,0,1,5,8,3,0,0,1,3,1
8,5,1,2,5,90,happened,morning,0,2,4,8,12,0,0,1,3,1
8,6,2,2,11,76,degree,lady,0,3,4,8,12,0,0,1,3,1
8,7,1,1,13,33,explain,course,0,1,4,8,12,0,0,1,3,1
8,8,1,1,14,144,attitude,legs,0,3,4,8,12,0,0,1,3,1
8,9,1,2,15,94,morning,mean,0,1,7,8,7,0,0,1,3,1
8,10,2,1,16,127,read,read,1,6,1,8,1,1,0,0,1,1
8,11,2,1,17,155,projects,game,0,1,7,8,7,0,0,1,3,1
8,12,2,2,1,124,senate,proud,0,1,7,8,7,0,0,1,3,1
8,13,1,1,19,126,name,lead,0,1,4,8,12,0,0,1,3,1
8,14,2,2,20,156,meeting,meet,0,2,2,8,2,1,0,0,1,1
8,15,2,2,2,32,regular,teach,0,1,7,8,7,0,0,1,3,1
8,16,1,1,6,92,justice,happy,0,1,7,8,7,0,0,1,3,1
8,17,2,1,10,117,church,food,0,1,7,8,7,0,0,1,3,1
8,18,1,2,7,151,lead,legs,0,1,3,8,11,0,0,1,3,1
8,19,1,1,18,176,king,smart,0,1,7,8,7,0,0,1,3,1
8,20,2,1,21,97,ready,ready,1,2,1,8,1,1,0,0,1,1
8,21,1,2,22,77,lady,lady,1,1,1,8,1,1,0,0,1,1
8,22,2,2,23,167,leaving,joy,0,1,7,8,7,0,0,1,3,1
8,23,2,1,24,21,runs,luck,0,1,7,8,7,0,0,1,3,1
8,24,2,2,12,130,post,success,0,1,7,8,7,0,0,1,3,1
9,1,1,1,2,108,right,proud,0,2,6,9,4,0,0,1,3,1
9,2,2,1,1,189,made,theme,0,1,7,9,7,0,0,1,3,1
9,3,2,1,5,191,door,door,1,4,1,9,1,1,0,0,1,1
9,4,1,2,12,72,tone,initial,0,1,6,9,4,0,0,1,3,1
9,5,1,1,16,177,frame,frame,1,5,1,9,1,1,0,0,1,1
9,6,1,1,7,173,campaign,knowing,0,5,5,9,3,0,0,1,3,1
9,7,1,2,9,69,growth,initial,0,4,6,9,4,0,0,1,3,1
9,8,1,1,18,175,theme,first,0,1,7,9,7,0,0,1,3,1
9,9,2,2,13,62,student,student,1,6,1,9,1,1,0,0,1,1
9,10,2,1,14,187,knowing,knowing,1,5,1,9,1,1,0,0,1,1
9,11,2,2,4,93,source,start,0,2,7,9,5,0,0,1,3,1
9,12,1,2,20,156,suggest,face,0,1,7,9,7,0,0,1,3,1
9,13,2,1,21,188,ultimate,lady,0,4,4,9,12,0,0,1,3,1
9,14,2,2,19,2,send,lady,0,3,4,9,12,0,0,1,3,1
9,15,2,1,8,162,necessarily,mark,0,1,7,9,7,0,0,1,3,1
9,16,1,1,10,176,individuals,made,0,1,5,9,3,0,0,1,3,1
9,17,1,2,11,11,lady,stop,0,1,7,9,7,0,0,1,3,1
9,18,1,2,15,140,experienced,experience,0,6,2,9,2,1,0,0,1,1
9,19,1,2,17,7,surprise,lady,0,5,4,9,12,0,0,1,3,1
9,20,1,1,22,178,found,hold,0,1,7,9,7,0,0,1,3,1
9,21,2,1,3,111,ended,proud,0,4,6,9,4,0,0,1,3,1
9,22,2,2,23,38,crisis,crisis,1,6,1,9,1,1,0,0,1,1
9,23,2,2,6,192,hills,felt,0,3,6,9,4,0,0,1,3,1
9,24,2,2,24,190,exist,force,0,1,7,9,7,0,0,1,3,1
10,1,2,1,8,12,edge,edge,1,5,1,10,1,1,0,0,1,1
10,2,1,1,4,16,broke,broke,1,4,1,10,1,1,0,0,1,1
10,3,1,2,13,169,economic,economics,0,6,2,10,2,1,0,0,1,1
10,4,2,1,19,124,really,happy,0,2,7,10,7,0,0,1,3,1
10,5,1,1,12,142,help,help,1,6,1,10,1,1,0,0,1,1
10,6,2,1,21,194,smile,smile,1,2,1,10,1,1,0,0,1,1
10,7,1,2,23,31,object,object,1,6,1,10,1,1,0,0,1,1
10,8,2,1,7,96,solid,leading,0,3,5,10,3,0,0,1,3,1
10,9,1,1,1,172,sales,sales,1,6,1,10,1,1,0,0,1,1
10,10,1,1,6,162,probably,probably,1,6,1,10,1,1,0,0,1,1
10,11,1,2,10,57,bear,bear,1,6,1,10,1,1,0,0,1,1
10,12,2,1,11,156,newspaper,newspaper,1,6,1,10,1,1,0,0,1,1
10,13,1,2,2,91,send,send,1,6,1,10,1,1,0,0,1,1
10,14,1,1,5,100,remain,remains,0,6,2,10,2,1,0,0,1,1
10,15,2,2,3,137,hardly,broke,0,1,4,10,12,0,0,1,3,1
10,16,2,2,9,67,aside,driving,0,1,4,10,12,0,0,1,3,1
10,17,1,1,14,160,file,file,1,6,1,10,1,1,0,0,1,1
10,18,2,1,16,184,leading,leading,1,1,1,10,1,1,0,0,1,1
10,19,2,2,17,189,supported,support,0,2,2,10,2,1,0,0,1,1
10,20,2,2,15,42,setting,help,0,1,4,10,12,0,0,1,3,1
10,21,2,2,22,108,doctor,success,0,1,7,10,7,0,0,1,3,1
10,22,2,2,20,167,experience,smart,0,1,7,10,7,0,0,1,3,1
10,23,1,2,24,69,driving,driving,1,5,1,10,1,1,0,0,1,1
10,24,1,2,18,122,movement,leading,0,2,5,10,3,0,0,1,3,1
11,1,2,1,24,90,home,home,1,5,1,11,1,1,0,0,1,1
11,2,2,2,3,99,poor,look,0,2,7,11,7,0,0,1,3,1
11,3,1,1,14,21,beat,busted,0,2,7,11,7,0,0,1,3,1
11,4,1,1,16,178,bottom,flow,0,2,7,11,7,0,0,1,3,1
11,5,1,2,20,85,serve,served,0,5,2,11,2,1,0,0,1,1
11,6,1,2,19,197,putting,putting,1,6,1,11,1,1,0,0,1,1
11,7,2,2,12,63,growing,doing,0,3,7,11,7,0,0,1,3,1
11,8,2,1,4,182,drink,work,0,3,7,11,7,0,0,1,3,1
11,9,2,2,6,64,indicate,golden,0,1,6,11,4,0,0,1,3,1
11,10,2,1,2,146,laid,house,0,2,7,11,7,0,0,1,3,1
11,11,1,1,9,45,greater,safe,0,2,4,11,12,0,0,1,3,1
11,12,1,2,7,192,fresh,fresh,1,5,1,11,1,1,0,0,1,1
11,13,1,1,17,191,forced,forced,1,5,1,11,1,1,0,0,1,1
11,14,1,1,22,54,interested,interested,1,6,1,11,1,1,0,0,1,1
11,15,2,1,1,167,spread,square,0,2,5,11,3,0,0,1,3,1
11,16,1,1,11,55,noted,safe,0,4,3,11,11,0,0,1,3,1
11,17,2,1,15,52,least,square,0,2,5,11,3,0,0,1,3,1
11,18,1,2,21,87,television,television,1,5,1,11,1,1,0,0,1,1
11,19,2,2,5,117,sexual,cross,0,2,7,11,7,0,0,1,3,1
11,20,2,2,8,199,square,square,1,5,1,11,1,1,0,0,1,1
11,21,2,1,10,163,closed,closed,1,5,1,11,1,1,0,0,1,1
11,22,1,2,18,188,conflict,resolve,0,4,7,11,7,0,0,1,3,1
11,23,2,2,13,180,boat,open,0,2,7,11,7,0,0,1,3,1
11,24,1,2,23,105,safe,scared,0,4,7,11,7,0,0,1,3,1
12,1,1,2,24,40,theory,theory,1,5,1,12,1,1,0,0,1,1
12,2,1,1,8,98,economic,pulled,0,3,4,12,12,0,0,1,3,1
12,3,2,1,10,4,morning,truck,0,1,5,12,3,0,0,1,3,1
12,4,2,2,11,12,affairs,study,0,1,7,12,7,0,0,1,3,1
12,5,2,1,12,163,truck,truck,1,5,1,12,1,1,0,0,1,1
12,6,2,2,16,165,trust,inches,0,1,4,12,12,0,0,1,3,1
12,7,1,2,5,6,theater,atmosphere,0,1,6,12,4,0,0,1,3,1
12,8,2,1,7,97,police,systems,0,5,4,12,12,0,0,1,3,1
12,9,1,1,4,30,pulled,inches,0,5,4,12,12,0,0,1,3,1
12,10,2,2,9,153,trial,inches,0,1,4,12,12,0,0,1,3,1
12,11,1,2,6,188,difficult,dance,0,1,4,12,12,0,0,1,3,1
12,12,1,1,17,184,dance,dance,1,5,1,12,1,1,0,0,1,1
12,13,1,1,18,194,gone,pulled,0,3,4,12,12,0,0,1,3,1
12,14,1,2,2,38,inches,inches,1,3,1,12,1,1,0,0,1,1
12,15,2,1,15,77,troops,dance,0,1,4,12,12,0,0,1,3,1
12,16,2,2,1,136,failure,atmosphere,0,2,6,12,4,0,0,1,3,1
12,17,1,1,19,60,thick,inches,0,1,4,12,12,0,0,1,3,1
12,18,2,2,20,103,chair,theory,0,4,4,12,12,0,0,1,3,1
12,19,1,2,3,158,systems,systems,1,4,1,12,1,1,0,0,1,1
12,20,2,1,21,50,drive,truck,0,1,5,12,3,0,0,1,3,1
12,21,2,2,22,36,atmosphere,atmosphere,1,6,1,12,1,1,0,0,1,1
12,22,2,1,23,116,extreme,truck,0,1,5,12,3,0,0,1,3,1
12,23,1,1,13,15,theme,hat,0,1,7,12,7,0,0,1,3,1
12,24,1,2,14,88,spot,class,0,5,7,12,7,0,0,1,3,1
13,1,1,1,11,136,mass,mass,1,5,1,13,1,1,0,0,1,1
13,2,1,1,22,12,seat,straight,0,1,7,13,7,0,0,1,3,1
13,3,1,1,23,147,someone,someone,1,4,1,13,1,1,0,0,1,1
13,4,2,2,24,107,loose,loose,1,6,1,13,1,1,0,0,1,1
13,5,2,1,8,184,plenty,mass,0,2,4,13,12,0,0,1,3,1
13,6,2,1,14,89,plans,respect,0,2,5,13,3,0,0,1,3,1
13,7,1,1,10,35,clay,clay,1,6,1,13,1,1,0,0,1,1
13,8,1,1,3,98,merely,happy,0,1,7,13,7,0,0,1,3,1
13,9,2,2,1,206,bought,bought,1,6,1,13,1,1,0,0,1,1
13,10,2,2,13,178,respect,respect,1,4,1,13,1,1,0,0,1,1
13,11,2,1,16,207,held,long,0,1,7,13,7,0,0,1,3,1
13,12,1,2,18,142,object,fake,0,2,7,13,7,0,0,1,3,1
13,13,1,1,12,40,presence,presence,1,2,1,13,1,1,0,0,1,1
13,14,2,1,6,205,fell,happy,0,1,7,13,7,0,0,1,3,1
13,15,2,1,2,131,learned,happy,0,1,7,13,7,0,0,1,3,1
13,16,1,2,5,123,horse,mass,0,4,3,13,11,0,0,1,3,1
13,17,2,2,9,153,minor,smile,0,1,7,13,7,0,0,1,3,1
13,18,1,2,7,76,musical,success,0,2,7,13,7,0,0,1,3,1
13,19,1,2,15,118,prove,smart,0,1,7,13,7,0,0,1,3,1
13,20,1,2,21,41,arms,happy,0,1,7,13,7,0,0,1,3,1
13,21,2,2,20,177,flat,long,0,1,7,13,7,0,0,1,3,1
13,22,1,2,4,145,garden,bright,0,1,7,13,7,0,0,1,3,1
13,23,2,2,19,208,enough,happy,0,1,7,13,7,0,0,1,3,1
13,24,2,1,17,162,daily,nice,0,1,7,13,7,0,0,1,3,1
14,1,2,1,15,149,park,gross,0,1,4,14,12,0,0,1,3,1
14,2,1,2,6,163,acting,gross,0,1,4,14,12,0,0,1,3,1
14,3,1,1,7,201,avoid,gross,0,3,4,14,12,0,0,1,3,1
14,4,1,1,14,40,valley,valley,1,5,1,14,1,1,0,0,1,1
14,5,2,1,16,209,cross,eventually,0,1,4,14,12,0,0,1,3,1
14,6,1,2,2,153,chief,seperated,0,2,7,14,7,0,0,1,3,1
14,7,1,2,19,158,apart,apart,1,2,1,14,1,1,0,0,1,1
14,8,2,1,20,83,join,eventually,0,1,4,14,12,0,0,1,3,1
14,9,2,1,4,62,hard,hard,1,3,1,14,1,1,0,0,1,1
14,10,1,2,8,204,caught,seperate,0,1,7,14,7,0,0,1,3,1
14,11,1,1,9,181,birds,apart,0,1,4,14,12,0,0,1,3,1
14,12,2,2,5,210,homes,gross,0,1,4,14,12,0,0,1,3,1
14,13,2,2,10,208,chair,different,0,1,7,14,7,0,0,1,3,1
14,14,2,2,13,30,fear,eventually,0,1,4,14,12,0,0,1,3,1
14,15,2,1,21,189,motor,different,0,1,7,14,7,0,0,1,3,1
14,16,2,2,18,66,independent,hard,0,4,5,14,3,0,0,1,3,1
14,17,2,1,12,17,brief,seperated,0,1,7,14,7,0,0,1,3,1
14,18,1,1,22,97,cold,group,0,1,7,14,7,0,0,1,3,1
14,19,1,1,23,110,eventually,long,0,1,7,14,7,0,0,1,3,1
14,20,2,2,3,207,several,real,0,1,7,14,7,0,0,1,3,1
14,21,2,2,24,8,drink,easy,0,1,7,14,7,0,0,1,3,1
14,22,1,1,1,102,sales,seperated,0,2,7,14,7,0,0,1,3,1
14,23,1,2,11,203,gross,foul,0,1,7,14,5,0,0,1,3,1
14,24,1,2,17,7,wild,large,0,1,7,14,7,0,0,1,3,1
15,1,1,1,23,23,stand,stand,1,2,1,15,8,1,0,0,1,1
15,2,1,2,14,88,opening,course,0,1,7,15,8,0,0,1,3,1
15,3,1,1,7,187,dance,class,0,1,7,15,8,0,0,1,3,1
15,4,1,2,10,196,reported,course,0,3,7,15,8,0,0,1,3,1
15,5,2,2,24,160,hill,hill,1,6,1,15,8,1,0,0,1,1
15,6,2,2,1,78,showed,change,0,4,7,15,8,0,0,1,3,1
15,7,1,2,3,40,enough,enough,1,6,1,15,8,1,0,0,1,1
15,8,1,1,11,83,charge,dance,0,1,4,15,8,0,0,1,3,1
15,9,2,1,12,134,pair,campaign,0,1,4,15,8,0,0,1,3,1
15,10,2,1,13,161,share,hill,0,1,5,15,8,0,0,1,3,1
15,11,2,2,17,42,pool,class,0,1,7,15,8,0,0,1,3,1
15,12,2,1,19,116,disease,surgery,0,3,7,15,8,0,0,1,3,1
15,13,2,1,20,92,others,friend,0,1,7,15,8,0,0,1,3,1
15,14,2,2,16,68,pass,courses,0,2,4,15,8,0,0,1,3,1
15,15,1,1,18,7,once,dance,0,1,4,15,8,0,0,1,3,1
15,16,1,2,8,30,problem,campaign,0,6,3,15,8,0,0,1,3,1
15,17,1,1,9,9,campaign,friend,0,1,7,15,8,0,0,1,3,1
15,18,1,2,6,61,courses,class,0,3,7,15,8,0,0,1,3,1
15,19,1,1,15,105,narrow,hill,0,1,5,15,8,0,0,1,3,1
15,20,2,2,5,107,income,no clue,0,1,7,15,8,0,0,1,3,1
15,21,1,2,4,35,conflict,mustache,0,1,7,15,8,0,0,1,3,1
15,22,2,2,21,164,largely,grades,0,2,7,15,8,0,0,1,3,1
15,23,2,1,22,67,politics,courses,0,2,4,15,8,0,0,1,3,1
15,24,2,1,2,101,fellow,friend,0,1,7,15,8,0,0,1,3,1
16,1,2,1,17,52,labor,natural,0,1,4,16,8,0,0,1,3,1
16,2,1,2,18,27,natural,high,0,1,5,16,8,0,0,1,3,1
16,3,1,2,19,26,telling,tell,0,2,7,16,8,0,0,1,3,1
16,4,2,1,20,137,cultural,travel,0,1,5,16,8,0,0,1,3,1
16,5,2,1,21,39,honor,sell,0,1,7,16,8,0,0,1,3,1
16,6,1,1,15,152,start,dsdfds,0,1,7,16,8,0,0,1,3,1
16,7,2,2,22,141,cars,naural,0,1,7,16,8,0,0,1,3,1
16,8,1,2,1,108,season,camp,0,5,3,16,8,0,0,1,3,1
