Ssn,TestTrial,Cond,Order,Study2Trial,Cue,Target,Resp,Corr,RT,BlockNum,RespType,nCorr,NoRec,Incorr,SimpleResp,Expt
8,3,2,2,6,136,maybe,no,2,12.125,2,8,0,1,0,8,1
8,4,1,2,11,152,island,camp,0,3.079,2,4,0,0,1,3,1
8,5,2,1,3,134,earlier,lived,0,8,2,4,0,0,1,3,1
8,6,1,2,12,159,lived,lived,1,2.656,2,1,1,0,0,1,1
8,7,1,1,13,161,take,camp,0,5.094,2,4,0,0,1,3,1
8,8,1,2,14,97,membership,list,0,2.313,2,5,0,0,1,3,1
8,9,1,1,9,156,minor,no,2,2.14,2,8,0,1,0,8,1
8,10,2,2,15,23,growth,home,0,5.765,2,4,0,0,1,3,1
8,11,2,1,2,57,television,home,0,2.516,2,4,0,0,1,3,1
8,12,2,1,16,1,suggest,no,2,3.265,2,8,0,1,0,8,1
8,13,2,1,7,91,caused,no,2,3.203,2,8,0,1,0,8,1
8,14,1,1,8,143,camp,no,2,3.953,2,8,0,1,0,8,1
8,15,1,2,4,47,finding,memior,0,11.89,2,7,0,0,1,3,1
8,16,1,1,1,147,home,no,2,1.719,2,8,0,1,0,8,1
9,1,1,2,8,193,forward,stress,0,9.389,2,4,0,0,1,3,1
9,2,1,2,9,131,message,index,0,3.307,2,3,0,0,1,3,1
9,3,1,2,5,173,showed,brown,0,10.059,2,5,0,0,1,3,1
9,4,2,1,11,21,bank,no,2,5.795,2,8,0,1,0,8,1
9,5,1,1,7,181,stated,stated,1,4.563,2,1,1,0,0,1,1
9,6,2,2,1,169,cold,brown,0,4.123,2,5,0,0,1,3,1
9,7,2,1,14,84,maybe,no,2,2.994,2,8,0,1,0,8,1
9,8,1,2,13,190,somebody,no,2,12.049,2,8,0,1,0,8,1
9,9,2,2,15,42,system,no,2,2.955,2,8,0,1,0,8,1
9,10,2,2,10,170,surprise,excited,0,4.289,2,7,0,0,1,3,1
9,11,2,1,16,45,actually,,0,3.259,2,8,0,1,0,8,1
9,12,2,1,3,113,enough,no,2,3.188,2,8,0,1,0,8,1
9,13,2,2,2,74,brown,no,2,4.355,2,8,0,1,0,8,1
9,14,1,1,4,8,belief,no,2,5.578,2,8,0,1,0,8,1
9,15,1,1,6,138,index,no,2,4.666,2,8,0,1,0,8,1
9,16,1,1,12,29,stress,stress,1,5.433,2,1,1,0,0,1,1
10,1,2,2,5,145,difficult,no,2,12.047,2,8,0,1,0,8,1
10,2,2,1,9,127,service,weird,0,8.984,2,7,0,0,1,3,1
10,3,2,2,11,68,hair,hair,1,1.938,2,1,1,0,0,1,1
10,4,2,1,12,1,talked,talked,1,2.829,2,1,1,0,0,1,1
10,5,1,2,1,176,narrow,possibility,0,2.75,2,3,0,0,1,3,1
10,6,1,2,3,3,cold,cold,1,1.672,2,1,1,0,0,1,1
10,7,1,1,7,183,somewhat,murderer,0,3.453,2,7,0,0,1,3,1
10,8,1,2,8,80,baseball,judge,0,2.5,2,6,0,0,1,3,1
10,9,2,1,6,119,broad,no,2,3.797,2,8,0,1,0,8,1
10,10,1,1,14,6,gold,gold,1,1.39,2,1,1,0,0,1,1
10,11,2,2,15,49,pointed,narrow,0,2.015,2,4,0,0,1,3,1
10,12,1,1,2,185,possibility,weird,0,5.281,2,7,0,0,1,3,1
10,13,2,2,13,70,task,task,1,3.141,2,1,1,0,0,1,1
10,14,2,1,16,125,rule,optimistic,0,12.125,2,7,0,0,1,3,1
10,15,1,2,10,182,civil,civil,1,4.375,2,1,1,0,0,1,1
10,16,1,1,4,164,mention,hair,0,1.437,2,5,0,0,1,3,1
11,1,1,2,15,14,assume,assume,1,23.844,2,1,1,0,0,1,1
11,2,1,2,14,131,exchange,exchange,1,7.5,2,1,1,0,0,1,1
11,3,2,2,4,41,line,line,1,3.922,2,1,1,0,0,1,1
11,4,2,1,8,24,anyone,no,2,5.531,2,8,0,1,0,8,1
11,5,2,1,16,32,sets,kichen,0,7.343,2,7,0,0,1,3,1
11,6,1,1,11,40,kitchen,kitchen,1,6.813,2,1,1,0,0,1,1
11,7,1,1,3,25,broke,hill,0,5.89,2,4,0,0,1,3,1
11,8,2,1,2,124,slight,no,2,4.859,2,8,0,1,0,8,1
11,9,2,1,9,115,central,,0,6.094,2,8,0,1,0,8,1
11,10,2,2,10,149,ball,hill,0,6.032,2,4,0,0,1,3,1
11,11,2,2,6,135,solution,no,2,4.75,2,8,0,1,0,8,1
11,12,1,2,5,117,food,no,2,5.828,2,8,0,1,0,8,1
11,13,2,2,7,148,spirit,no,2,3.968,2,8,0,1,0,8,1
11,14,1,1,1,33,available,no,2,3.828,2,8,0,1,0,8,1
11,15,1,1,12,77,artists,hill,0,4.078,2,3,0,0,1,3,1
11,16,1,2,13,125,hill,ball,0,9.437,2,5,0,0,1,3,1
12,1,2,2,14,159,signs,female,0,7.657,2,4,0,0,1,3,1
12,2,1,2,9,16,perfect,no,2,3.484,2,8,0,1,0,8,1
12,3,1,2,12,89,pair,style,0,2.313,2,3,0,0,1,3,1
12,4,1,1,15,151,female,female,1,1.75,2,1,1,0,0,1,1
12,5,1,1,6,161,newspaper,no,2,3.813,2,8,0,1,0,8,1
12,6,2,1,2,184,respect,no,2,1.843,2,8,0,1,0,8,1
12,7,1,1,10,140,style,style,1,1.719,2,1,1,0,0,1,1
12,8,2,2,13,192,foreign,no,2,2.359,2,8,0,1,0,8,1
12,9,1,1,16,84,raise,no,2,2.297,2,8,0,1,0,8,1
12,10,2,1,8,190,build,no,2,1.968,2,8,0,1,0,8,1
12,11,1,2,11,97,visit,no,2,3.047,2,8,0,1,0,8,1
12,12,2,2,1,129,reasonable,no,2,1.484,2,8,0,1,0,8,1
12,13,2,2,4,189,theory,no,2,2.031,2,8,0,1,0,8,1
12,14,2,1,3,194,headed,no,2,1.985,2,8,0,1,0,8,1
12,15,2,1,7,94,becomes,no,2,2.296,2,8,0,1,0,8,1
12,16,1,2,5,27,forward,no,2,2.329,2,8,0,1,0,8,1
13,1,1,1,1,119,girls,program,0,15.053,2,4,0,0,1,3,1
13,2,1,2,6,93,killed,killed,1,4.5,2,1,1,0,0,1,1
13,3,2,1,12,151,spring,spring,1,2.739,2,1,1,0,0,1,1
13,4,1,1,4,115,minor,degree,0,7.154,2,7,0,0,1,3,1
13,5,2,2,11,162,ship,ship,1,2.355,2,1,1,0,0,1,1
13,6,2,1,5,152,farm,no,2,4.627,2,8,0,1,0,8,1
13,7,2,1,13,174,teeth,teeth,1,2.81,2,1,1,0,0,1,1
13,8,2,2,14,31,take,no,2,3.121,2,8,0,1,0,8,1
13,9,1,2,15,86,league,league,1,3.035,2,1,1,0,0,1,1
13,10,1,1,3,30,version,no,2,2.226,2,8,0,1,0,8,1
13,11,2,2,2,194,chair,no,2,1.436,2,8,0,1,0,8,1
13,12,1,1,16,23,need,killed,0,5.827,2,3,0,0,1,3,1
13,13,2,1,7,123,final,no,2,3.01,2,8,0,1,0,8,1
13,14,2,2,8,141,ought,no,2,1.433,2,8,0,1,0,8,1
13,15,1,2,9,122,horse,horse,1,1.86,2,1,1,0,0,1,1
13,16,1,2,10,57,program,need,0,2.459,2,3,0,0,1,3,1
14,1,1,1,1,39,maintenance,film,0,6.859,2,5,0,0,1,3,1
14,2,2,2,11,140,task,task,1,4.203,2,1,1,0,0,1,1
14,3,2,1,12,24,film,film,1,2.531,2,1,1,0,0,1,1
14,4,1,2,2,16,noted,note,0,3.859,2,2,1,0,0,1,1
14,5,1,1,8,13,mass,mass,1,3.859,2,1,1,0,0,1,1
14,6,2,2,3,93,taught,no,2,2.188,2,8,0,1,0,8,1
14,7,1,1,13,129,silence,no,2,3.547,2,8,0,1,0,8,1
14,8,1,1,14,194,song,song,1,2.171,2,1,1,0,0,1,1
14,9,2,1,15,105,tall,tall,1,2.235,2,1,1,0,0,1,1
14,10,1,2,16,210,arts,quiet,0,4.578,2,7,0,0,1,3,1
14,11,1,2,4,91,editor,no,2,4.453,2,8,0,1,0,8,1
14,12,2,2,6,102,fairly,no,2,3.687,2,8,0,1,0,8,1
14,13,2,1,5,47,free,no,2,2,2,8,0,1,0,8,1
14,14,1,2,7,209,plenty,plenty,1,10.094,2,1,1,0,0,1,1
14,15,2,2,9,30,hall,no,2,2.843,2,8,0,1,0,8,1
14,16,2,1,10,22,homes,no,2,2.766,2,8,0,1,0,8,1
15,1,2,1,15,187,forward,no,2,15.172,2,8,0,1,0,8,1
15,2,1,2,1,34,plans,no,2,12.266,2,8,0,1,0,8,1
15,3,1,2,16,146,paid,problems,0,5.75,2,3,0,0,1,3,1
15,4,2,1,9,6,soft,no,2,3.469,2,8,0,1,0,8,1
15,5,1,1,14,140,material,no,2,4.562,2,8,0,1,0,8,1
15,6,2,2,13,152,choose,file,0,5.782,2,4,0,0,1,3,1
15,7,1,1,12,156,problems,no,2,3.641,2,8,0,1,0,8,1
15,8,1,1,3,50,became,file,0,3.688,2,4,0,0,1,3,1
15,9,1,2,6,81,file,became,0,16.391,2,3,0,0,1,3,1
15,10,1,2,2,4,aware,no,2,7.312,2,8,0,1,0,8,1
15,11,2,2,5,33,greater,no,2,3.125,2,8,0,1,0,8,1
15,12,1,1,4,159,drop,no,2,1.953,2,8,0,1,0,8,1
15,13,2,2,8,154,built,no,2,2.172,2,8,0,1,0,8,1
15,14,2,1,7,193,hard,no,2,1.828,2,8,0,1,0,8,1
15,15,2,2,10,99,signs,no,2,3.594,2,8,0,1,0,8,1
15,16,2,1,11,36,carry,no,2,1.485,2,8,0,1,0,8,1
16,1,1,1,9,115,daughter,no,2,6.187,2,8,0,1,0,8,1
16,2,2,2,1,43,paid,no,2,9.125,2,8,0,1,0,8,1
16,3,2,2,14,38,identity,no,2,9.141,2,8,0,1,0,8,1
16,4,1,1,6,185,bridge,no,2,2.828,2,8,0,1,0,8,1
16,5,2,2,8,20,shot,shot,1,2.906,2,1,1,0,0,1,1
16,6,2,1,5,37,material,no,2,6.11,2,8,0,1,0,8,1
16,7,2,1,11,94,event,event,1,2.672,2,1,1,0,0,1,1
16,8,1,2,15,178,army,army,1,2.453,2,1,1,0,0,1,1
16,9,1,1,3,26,picked,busy,0,3.344,2,3,0,0,1,3,1
16,10,1,2,16,13,finds,finds,1,1.859,2,1,1,0,0,1,1
16,11,1,1,7,179,driving,driving,1,3.422,2,1,1,0,0,1,1
16,12,2,1,10,81,score,score,1,3.765,2,1,1,0,0,1,1
16,13,2,2,12,141,ball,ball,1,2.235,2,1,1,0,0,1,1
16,14,1,2,2,11,busy,busy,1,2.312,2,1,1,0,0,1,1
16,15,1,2,4,101,cases,no,2,2.844,2,8,0,1,0,8,1
16,16,2,1,13,153,movement,no,2,1.828,2,8,0,1,0,8,1
17,1,2,1,9,97,lips,lips,1,6.811,2,1,1,0,0,1,1
17,2,1,2,11,197,rock,songs,0,3.826,2,3,0,0,1,3,1
17,3,2,2,15,148,willing,willing,1,3.803,2,1,1,0,0,1,1
17,4,2,1,16,173,boys,problems,0,6.683,2,4,0,0,1,3,1
17,5,1,2,5,174,problems,gold,0,3.346,2,3,0,0,1,3,1
17,6,2,2,2,57,feed,feed,1,3.617,2,1,1,0,0,1,1
17,7,1,1,4,9,songs,rock,0,6.386,2,4,0,0,1,3,1
17,8,2,2,8,53,birth,birth,1,4.85,2,1,1,0,0,1,1
17,9,2,1,1,39,seemed,,0,3.516,2,8,0,1,0,8,1
17,10,1,1,3,87,loved,love,0,9.131,2,2,1,0,0,1,1
17,11,1,2,10,109,inches,inches,1,3.322,2,1,1,0,0,1,1
17,12,1,2,12,54,senate,senate,1,4.337,2,1,1,0,0,1,1
17,13,2,1,7,108,wild,wild,1,2.955,2,1,1,0,0,1,1
17,14,2,2,13,77,audience,,0,2.604,2,8,0,1,0,8,1
17,15,1,1,14,46,meeting,,0,2.33,2,8,0,1,0,8,1
17,16,1,1,6,201,gold,gold,1,2.643,2,1,1,0,0,1,1
18,1,2,1,5,35,indicate,indicate,1,7.688,2,1,1,0,0,1,1
18,2,1,2,16,14,follow,seemed,0,7.281,2,4,0,0,1,3,1
18,3,1,2,15,121,returned,return,0,13.969,2,2,1,0,0,1,1
18,4,1,2,10,192,stand,stand,1,3.125,2,1,1,0,0,1,1
18,5,1,1,8,87,human,human,1,2.485,2,1,1,0,0,1,1
18,6,1,2,14,12,silence,no,2,6.031,2,8,0,1,0,8,1
18,7,2,1,3,49,fashion,no,2,11.266,2,8,0,1,0,8,1
18,8,1,1,1,24,seemed,liked,0,20.265,2,6,0,0,1,3,1
18,9,1,1,2,23,check,no,2,4.422,2,8,0,1,0,8,1
18,10,2,1,6,60,church,church,1,2.75,2,1,1,0,0,1,1
18,11,2,2,4,100,busy,no,2,6.235,2,8,0,1,0,8,1
18,12,1,1,9,178,hardly,no,2,34.032,2,8,0,1,0,8,1
18,13,2,2,7,114,armed,no,2,29.969,2,8,0,1,0,8,1
18,14,2,2,11,34,hills,no,2,40.453,2,8,0,1,0,8,1
18,15,2,1,12,20,faces,looked,0,7.735,2,7,0,0,1,3,1
18,16,2,2,13,73,chance,heart,0,12.031,2,7,0,0,1,3,1
19,1,2,2,15,76,spring,spring,1,6.75,2,1,1,0,0,1,1
19,2,2,1,13,197,spirit,spirit,1,13.812,2,1,1,0,0,1,1
19,3,1,2,3,152,sets,no,2,7.578,2,8,0,1,0,8,1
19,4,2,1,6,1,spent,no,2,9.563,2,8,0,1,0,8,1
19,5,2,2,7,175,spread,,0,3.343,2,8,0,1,0,8,1
19,6,1,1,11,49,mass,no,2,6.344,2,8,0,1,0,8,1
19,7,2,2,16,185,affairs,no,2,3.594,2,8,0,1,0,8,1
19,8,2,2,5,130,approach,approach,1,6.844,2,1,1,0,0,1,1
19,9,2,1,8,54,food,food,1,3.859,2,1,1,0,0,1,1
19,10,1,1,12,124,serve,,0,0.922,2,8,0,1,0,8,1
19,11,1,2,9,60,government,government,1,6.375,2,1,1,0,0,1,1
19,12,1,1,1,19,giving,,0,2.735,2,8,0,1,0,8,1
19,13,2,1,4,179,somewhere,no,2,2.688,2,8,0,1,0,8,1
19,14,1,2,10,14,need,no,2,1.782,2,8,0,1,0,8,1
19,15,1,2,2,7,physical,no,2,1.734,2,8,0,1,0,8,1
19,16,1,1,14,172,fund,fund,1,7.672,2,1,1,0,0,1,1
20,1,2,2,15,81,income,hill,0,5.719,2,4,0,0,1,3,1
20,2,1,1,2,141,hill,someone,0,3.843,2,4,0,0,1,3,1
20,3,2,1,6,146,spend,no,2,3.984,2,8,0,1,0,8,1
20,4,1,1,16,133,calls,no,2,2.391,2,8,0,1,0,8,1
20,5,2,1,1,50,tiny,no,2,2.094,2,8,0,1,0,8,1
20,6,1,1,4,65,thought,easier,0,2.968,2,3,0,0,1,3,1
20,7,2,2,8,52,touch,no,2,8.797,2,8,0,1,0,8,1
20,8,2,1,9,22,extreme,no,2,2.796,2,8,0,1,0,8,1
20,9,1,2,11,103,someone,politics,0,5.453,2,4,0,0,1,3,1
20,10,1,2,12,55,supported,no,2,5.094,2,8,0,1,0,8,1
20,11,2,2,13,29,narrow,narrow,1,3.921,2,1,1,0,0,1,1
20,12,1,1,14,6,politics,no,2,18.469,2,8,0,1,0,8,1
20,13,2,2,5,34,support,no,2,2.015,2,8,0,1,0,8,1
20,14,1,2,3,12,final,no,2,2.563,2,8,0,1,0,8,1
20,15,2,1,7,136,showing,no,2,4.094,2,8,0,1,0,8,1
20,16,1,2,10,86,easier,politics,0,9.796,2,3,0,0,1,3,1
21,1,2,2,12,87,types,no,2,3.875,2,8,0,1,0,8,1
21,2,1,1,13,9,actions,no,2,2.467,2,8,0,1,0,8,1
21,3,1,2,14,28,role,no,2,0.819,2,8,0,1,0,8,1
21,4,1,1,15,157,spoke,no,2,0.691,2,8,0,1,0,8,1
21,5,2,2,16,23,becomes,no,2,0.707,2,8,0,1,0,8,1
21,6,1,1,4,24,novel,no,2,2.554,2,8,0,1,0,8,1
21,7,2,1,3,34,belief,no,2,1.195,2,8,0,1,0,8,1
21,8,1,2,7,16,available,no,2,1.033,2,8,0,1,0,8,1
21,9,1,1,6,2,trial,raise,0,4.746,2,4,0,0,1,3,1
21,10,1,2,9,25,raise,no,2,3.371,2,8,0,1,0,8,1
21,11,1,2,11,197,train,train,1,2.396,2,1,1,0,0,1,1
21,12,2,2,1,123,turning,no,2,1.244,2,8,0,1,0,8,1
21,13,2,2,2,134,famous,no,2,0.836,2,8,0,1,0,8,1
21,14,2,1,8,30,twice,no,2,0.728,2,8,0,1,0,8,1
21,15,2,1,10,51,trust,no,2,3.811,2,8,0,1,0,8,1
21,16,2,1,5,54,truth,no,2,3.963,2,8,0,1,0,8,1
22,1,2,2,4,140,civil,no,2,16.907,2,8,0,1,0,8,1
22,2,1,2,10,181,offered,built,0,3.75,2,3,0,0,1,3,1
22,3,1,1,5,176,source,no,2,2.844,2,8,0,1,0,8,1
22,4,1,2,3,179,equal,no,2,1.781,2,8,0,1,0,8,1
22,5,1,2,11,65,theater,theater,1,3.407,2,1,1,0,0,1,1
22,6,2,1,12,119,vision,vison,0,2.812,2,2,1,0,0,1,1
22,7,1,1,8,146,trust,trust,1,2.922,2,1,1,0,0,1,1
22,8,1,2,13,145,giving,no,2,6.531,2,8,0,1,0,8,1
22,9,1,1,2,182,built,no,2,1.969,2,8,0,1,0,8,1
22,10,2,2,14,163,greater,greater,1,4.407,2,1,1,0,0,1,1
22,11,2,1,15,115,stand,no,2,2.672,2,8,0,1,0,8,1
22,12,2,1,1,191,goal,no,2,3.172,2,8,0,1,0,8,1
22,13,2,2,9,87,clay,course,0,14.453,2,7,0,0,1,3,1
22,14,2,2,16,185,tests,no,2,1.641,2,8,0,1,0,8,1
22,15,2,1,7,180,square,no,2,1.875,2,8,0,1,0,8,1
22,16,1,1,6,117,fair,no,2,2.093,2,8,0,1,0,8,1
23,1,1,1,5,132,forward,forward,1,14.866,2,1,1,0,0,1,1
23,2,2,2,2,164,plans,inner,0,14.297,2,4,0,0,1,3,1
23,3,1,2,11,15,carry,,0,5.906,2,8,0,1,0,8,1
23,4,2,2,13,106,typical,inner,0,6.449,2,4,0,0,1,3,1
23,5,1,2,8,121,inner,,0,5.314,2,8,0,1,0,8,1
23,6,2,1,3,169,philosophy,philosophy,1,30.289,2,1,1,0,0,1,1
23,7,2,2,4,22,using,,0,11.698,2,8,0,1,0,8,1
23,8,1,2,7,1,source,fat,0,8.985,2,7,0,0,1,3,1
23,9,2,2,9,197,deep,fat,0,2.194,2,7,0,0,1,3,1
23,10,2,1,10,20,somewhere,inner,0,2.042,2,4,0,0,1,3,1
23,11,1,2,6,61,efforts,,0,5.178,2,8,0,1,0,8,1
23,12,2,1,14,186,union,philosophy,0,7.265,2,5,0,0,1,3,1
23,13,2,1,15,64,firm,,0,2.578,2,8,0,1,0,8,1
23,14,1,1,12,14,bank,,0,1.282,2,8,0,1,0,8,1
23,15,1,1,16,97,task,clever,0,4.674,2,7,0,0,1,3,1
23,16,1,1,1,44,rain,,0,2.394,2,8,0,1,0,8,1
24,1,1,1,5,53,different,no.,0,16.75,2,8,0,1,0,8,1
24,2,2,2,7,113,signs,no.,0,5.375,2,8,0,1,0,8,1
24,3,1,1,9,26,funds,funds,1,4.172,2,1,1,0,0,1,1
24,4,1,1,4,28,greater,greater,1,4.141,2,1,1,0,0,1,1
24,5,2,1,11,135,disease,disease,1,2.563,2,1,1,0,0,1,1
