Ssn,TestTrial,Cond,WordCategory,StudyTrial,Cue,Target,Resp,Corr,Conf,RespType,OldRespType,nCorr,NoRec,Incorr,SimpleResp,Expt
8,23,1,1,22,34,uncle,no,8,2,8,8,0,1,0,8,2
8,24,1,1,2,78,thought,volume,0,6,3,11,0,0,1,3,2
7,1,2,2,22,3,laid,laid,1,2,1,1,1,0,0,1,2
7,2,1,1,10,174,heart,fairly,0,3,3,11,0,0,1,3,2
7,3,2,1,24,198,putting,telling,0,1,4,12,0,0,1,3,2
7,4,2,1,4,109,increasing,study,0,1,7,7,0,0,1,3,2
7,5,1,2,5,175,fairly,fairly,1,6,1,1,1,0,0,1,2
7,6,2,2,1,54,reported,heart,0,4,4,12,0,0,1,3,2
7,7,2,2,14,178,noted,no,8,1,8,8,0,1,0,8,2
7,8,1,1,6,111,explain,no,8,1,8,8,0,1,0,8,2
7,9,1,2,12,4,attempt,laid,0,2,5,3,0,0,1,3,2
7,10,2,2,16,208,examples,telling,0,1,4,12,0,0,1,3,2
7,11,2,1,15,207,duty,no,8,1,8,8,0,1,0,8,2
7,12,1,1,13,8,rates,no,8,1,8,8,0,1,0,8,2
7,13,1,2,9,165,stated,no,8,1,8,8,0,1,0,8,2
7,14,2,2,11,61,types,no,8,1,8,8,0,1,0,8,2
7,15,2,1,17,107,signal,teach,0,1,7,7,0,0,1,3,2
7,16,1,1,19,85,ultimate,no,8,1,8,8,0,1,0,8,2
7,17,1,1,20,49,remain,no,8,1,8,8,0,1,0,8,2
7,18,2,1,8,205,bright,no,8,1,8,8,0,1,0,8,2
7,19,1,1,18,29,marriage,no,8,1,8,8,0,1,0,8,2
7,20,2,2,3,204,becoming,no,8,1,8,8,0,1,0,8,2
7,21,1,2,2,157,sitting,sitting,1,4,1,1,1,0,0,1,2
7,22,1,2,21,71,telling,study,0,1,7,7,0,0,1,3,2
7,23,1,2,7,59,cultural,no,8,1,8,8,0,1,0,8,2
7,24,2,1,23,91,uniform,no,8,1,8,8,0,1,0,8,2
5,1,2,1,10,108,volume,no,8,2,8,8,0,1,0,8,2
5,2,2,1,17,42,waiting,no,8,2,8,8,0,1,0,8,2
5,3,2,1,18,136,ultimate,no,8,2,8,8,0,1,0,8,2
5,4,1,1,19,152,slow,going ,0,2,4,12,0,0,1,3,2
5,5,1,2,20,51,session,no,8,2,8,8,0,1,0,8,2
5,6,1,2,21,46,ancient,no,8,2,8,8,0,1,0,8,2
5,7,1,2,13,23,broad,no,8,2,8,8,0,1,0,8,2
5,8,1,2,8,125,someone,someone,1,5,1,1,1,0,0,1,2
5,9,1,1,2,169,stayed,no,8,2,8,8,0,1,0,8,2
5,10,1,1,22,104,industrial,industrial,1,6,1,1,1,0,0,1,2
5,11,1,1,23,57,chest,seeing,0,3,3,11,0,0,1,3,2
5,12,1,1,24,135,going,no,8,1,8,8,0,1,0,8,2
5,13,1,2,7,64,seeing,no,8,2,8,8,0,1,0,8,2
5,14,2,1,5,126,warm,no,8,2,8,8,0,1,0,8,2
5,15,2,2,9,200,used,teeth,0,4,6,4,0,0,1,3,2
5,16,2,2,14,33,becomes,no,8,2,8,8,0,1,0,8,2
5,17,2,1,15,4,union,motivates,0,2,7,7,0,0,1,3,2
5,18,2,2,11,67,vote,no,8,2,8,8,0,1,0,8,2
5,19,1,1,12,86,angle,ancient,0,5,3,11,0,0,1,3,2
5,20,2,1,16,203,spirit,no,8,2,8,8,0,1,0,8,2
5,21,2,2,4,5,race,no,8,1,8,8,0,1,0,8,2
5,22,1,2,1,155,fairly,no,8,3,8,8,0,1,0,8,2
5,23,2,2,3,68,valley,other,0,2,6,4,0,0,1,3,2
5,24,2,2,6,24,ways,no,8,3,8,8,0,1,0,8,2
6,1,2,2,18,163,captain,captain,1,6,1,1,1,0,0,1,2
6,2,1,1,8,121,band,base,0,3,4,12,0,0,1,3,2
6,3,2,2,2,22,snow,miss,0,2,4,12,0,0,1,3,2
6,4,2,1,7,157,obvious,bottom,0,2,4,12,0,0,1,3,2
6,5,1,2,1,16,council,pretty,0,2,7,7,0,0,1,3,2
6,6,2,1,9,54,created,bridge,0,1,4,12,0,0,1,3,2
6,7,1,2,17,158,pass,no,8,3,8,8,0,1,0,8,2
6,8,2,2,19,169,remain,no,8,2,8,8,0,1,0,8,2
6,9,2,1,20,111,circle,base,0,1,4,12,0,0,1,3,2
6,10,2,1,24,95,central,central,1,6,1,1,1,0,0,1,2
6,11,1,2,10,151,fund,no,8,1,8,8,0,1,0,8,2
6,12,1,2,14,129,foot,no,8,1,8,8,0,1,0,8,2
6,13,2,2,21,59,round,no,8,1,8,8,0,1,0,8,2
6,14,1,2,22,24,base,broke,0,4,4,12,0,0,1,3,2
6,15,2,1,23,73,follow,follow,1,6,1,1,1,0,0,1,2
6,16,1,1,4,80,bridge,no,8,6,8,8,0,1,0,8,2
6,17,1,1,5,104,final,murder,0,4,6,4,0,0,1,3,2
6,18,2,1,3,75,somehow,no,8,1,8,8,0,1,0,8,2
6,19,2,2,6,117,spoke,no,8,1,8,8,0,1,0,8,2
6,20,2,2,11,176,beauty,no,8,4,8,8,0,1,0,8,2
6,21,1,2,13,99,broke,fund,0,1,4,12,0,0,1,3,2
6,22,1,1,12,155,bottom,fail ,0,6,7,7,0,0,1,3,2
6,23,1,1,15,17,John,john,0,2,1,1,1,0,0,1,2
6,24,1,1,16,91,miss,miss,1,6,1,1,1,0,0,1,2
11,1,1,1,21,148,edge,notice,0,2,3,11,0,0,1,3,2
11,2,1,2,10,173,fixed,gold,0,5,4,12,0,0,1,3,2
11,3,1,2,13,10,notice,notice,1,5,1,1,1,0,0,1,2
11,4,1,1,20,118,window,no,8,3,8,8,0,1,0,8,2
11,5,1,1,22,157,baseball,baseball,1,6,1,1,1,0,0,1,2
11,6,2,1,17,62,pool,pool,1,4,1,1,1,0,0,1,2
11,7,1,1,3,166,wind,no,8,3,8,8,0,1,0,8,2
11,8,2,1,23,16,exercise,no,8,4,8,8,0,1,0,8,2
11,9,2,2,24,121,notes,no,8,2,8,8,0,1,0,8,2
11,10,2,1,4,99,charge,charge,1,4,1,1,1,0,0,1,2
11,11,2,2,12,46,trees,change,0,1,7,7,0,0,1,3,2
11,12,1,2,9,113,pull,change,0,2,7,7,0,0,1,3,2
11,13,2,1,11,60,advertising,no,8,4,8,8,0,1,0,8,2
11,14,2,1,7,124,round,edge,0,3,4,12,0,0,1,3,2
11,15,2,2,14,15,enemy,enemy,1,6,1,1,1,0,0,1,2
11,16,1,1,2,89,gold,window,0,3,4,12,0,0,1,3,2
11,17,2,2,15,26,hard,edge,0,2,4,12,0,0,1,3,2
11,18,1,2,19,97,question,change,0,6,7,7,0,0,1,3,2
11,19,2,1,16,45,judge,no,8,4,8,8,0,1,0,8,2
11,20,2,2,18,67,spoke,no,8,4,8,8,0,1,0,8,2
11,21,2,2,1,93,line,no,8,4,8,8,0,1,0,8,2
11,22,1,1,5,169,score,window,0,5,4,12,0,0,1,3,2
11,23,1,2,6,153,windows,baseball,0,3,3,11,0,0,1,3,2
11,24,1,2,8,143,named,edge,0,3,4,12,0,0,1,3,2
10,1,1,2,24,175,reduce,no,8,1,8,8,0,1,0,8,2
10,2,1,2,1,18,loose,no,8,2,8,8,0,1,0,8,2
10,3,2,1,3,194,passing,no,8,2,8,8,0,1,0,8,2
10,4,1,1,5,182,spirit,no,8,2,8,8,0,1,0,8,2
10,5,1,2,6,56,grow,no,8,6,8,8,0,1,0,8,2
10,6,2,2,12,192,hills,afraid,0,3,4,12,0,0,1,3,2
10,7,2,2,4,187,quick,no,8,2,8,8,0,1,0,8,2
10,8,2,1,8,12,enter,no,8,3,8,8,0,1,0,8,2
10,9,2,1,15,54,individuals,council,0,4,5,3,0,0,1,3,2
10,10,2,2,16,191,different,no,8,2,8,8,0,1,0,8,2
10,11,1,1,17,174,spend,no,8,3,8,8,0,1,0,8,2
10,12,1,2,13,17,sources,no,8,2,8,8,0,1,0,8,2
10,13,1,1,10,142,returned,no,8,2,8,8,0,1,0,8,2
10,14,1,1,18,169,attorney,attorney,1,6,1,1,1,0,0,1,2
10,15,2,2,19,193,life,church,0,2,6,4,0,0,1,3,2
10,16,2,2,21,38,mother,mother,1,5,1,1,1,0,0,1,2
10,17,2,1,22,80,ought,no,8,2,8,8,0,1,0,8,2
10,18,2,1,11,155,mass,no,8,2,8,8,0,1,0,8,2
10,19,2,2,23,97,council,no,8,2,8,8,0,1,0,8,2
10,20,1,2,14,22,afraid,no,8,3,8,8,0,1,0,8,2
10,21,1,1,2,173,solid,no,8,3,8,8,0,1,0,8,2
10,22,1,1,7,122,home,tall,0,4,7,7,0,0,1,3,2
10,23,2,1,20,40,moon,no,8,2,8,8,0,1,0,8,2
10,24,1,2,9,87,floor,home,0,3,3,11,0,0,1,3,2
9,1,1,1,22,144,elements,no,8,5,8,8,0,1,0,8,2
9,2,2,2,9,39,courses,giving,0,4,4,12,0,0,1,3,2
9,3,2,2,8,56,pool,poor,0,6,7,6,0,0,1,3,2
9,4,1,2,4,150,independent,no,8,5,8,8,0,1,0,8,2
9,5,2,1,13,140,laid,addition,0,6,4,12,0,0,1,3,2
9,6,2,2,17,16,sign,free,0,3,4,12,0,0,1,3,2
9,7,2,1,1,32,regular,no,8,5,8,8,0,1,0,8,2
9,8,2,2,3,45,sexual,door,0,5,4,12,0,0,1,3,2
9,9,1,2,18,110,feed,elements,0,5,3,11,0,0,1,3,2
9,10,2,1,10,118,cars,no,8,4,8,8,0,1,0,8,2
9,11,1,2,19,188,free,no,8,5,8,8,0,1,0,8,2
9,12,2,1,14,29,sales,free,0,3,4,12,0,0,1,3,2
9,13,1,1,21,198,addition,no,8,4,8,8,0,1,0,8,2
9,14,1,2,11,142,homes,home,0,6,2,2,1,0,0,1,2
9,15,1,1,6,204,ideal,no,8,5,8,8,0,1,0,8,2
9,16,2,2,16,175,said,no,8,5,8,8,0,1,0,8,2
9,17,1,1,2,15,argument,politics,0,4,5,3,0,0,1,3,2
9,18,2,1,7,100,politics,no,8,5,8,8,0,1,0,8,2
9,19,1,1,20,106,door,politics,0,5,5,3,0,0,1,3,2
9,20,2,1,15,8,shown,no,8,4,8,8,0,1,0,8,2
9,21,1,2,23,47,giving,hearing,0,4,4,12,0,0,1,3,2
9,22,1,2,24,127,hearing,hearing,1,5,1,1,1,0,0,1,2
9,23,1,1,5,199,attempt,no,8,5,8,8,0,1,0,8,2
9,24,2,2,12,27,busy,no,8,4,8,8,0,1,0,8,2
14,1,1,1,4,166,support,flesh,0,3,4,12,0,0,1,3,2
14,2,2,1,1,174,nobody,no,8,3,8,8,0,1,0,8,2
14,3,1,2,11,98,drop,drop,1,4,1,1,1,0,0,1,2
14,4,1,1,7,162,flesh,flesh,1,5,1,1,1,0,0,1,2
14,5,2,1,8,83,battle,politics,0,3,4,12,0,0,1,3,2
14,6,2,1,2,29,solid,burn,0,3,7,7,0,0,1,3,2
14,7,2,2,13,21,heat,burn,0,5,7,5,0,0,1,3,2
14,8,1,2,15,4,stage,no,8,2,8,8,0,1,0,8,2
14,9,2,1,18,112,choose,fall,0,2,7,7,0,0,1,3,2
14,10,2,2,19,175,reduce,no,8,3,8,8,0,1,0,8,2
14,11,1,1,12,79,born,different,0,2,4,12,0,0,1,3,2
14,12,1,2,10,104,different,different,1,6,1,1,1,0,0,1,2
14,13,1,2,20,154,politics,np,0,1,8,8,0,1,0,8,2
14,14,1,1,16,44,still,keep,0,4,4,12,0,0,1,3,2
14,15,2,2,14,94,miss,miss,1,6,1,1,1,0,0,1,2
14,16,2,1,22,107,difficult,no,8,2,8,8,0,1,0,8,2
14,17,2,1,17,31,build,no,8,2,8,8,0,1,0,8,2
14,18,1,2,23,42,town,no,8,2,8,8,0,1,0,8,2
14,19,2,2,24,106,entirely,drop,0,2,4,12,0,0,1,3,2
14,20,2,2,9,146,actually,no,8,1,8,8,0,1,0,8,2
14,21,1,1,21,40,travel,no,8,4,8,8,0,1,0,8,2
14,22,2,2,6,47,eyes,no,8,2,8,8,0,1,0,8,2
14,23,1,2,5,165,struggle,no,8,2,8,8,0,1,0,8,2
14,24,1,1,3,150,keep,no,8,2,8,8,0,1,0,8,2
15,1,1,1,7,147,atmosphere,no,8,4,8,8,0,1,0,8,2
15,2,2,2,1,48,costs,costs,1,4,1,1,1,0,0,1,2
15,3,2,2,6,133,cold,no,8,3,8,8,0,1,0,8,2
15,4,1,1,12,99,notice,economic,0,5,5,3,0,0,1,3,2
15,5,1,1,9,53,turning,no,8,6,8,8,0,1,0,8,2
15,6,2,1,2,8,long,mass,0,3,4,12,0,0,1,3,2
15,7,1,2,3,89,turned,no,8,4,8,8,0,1,0,8,2
15,8,2,2,10,201,nuclear,door,0,2,5,3,0,0,1,3,2
15,9,1,2,13,155,movement,movement,1,4,1,1,1,0,0,1,2
15,10,2,1,14,127,items,no,8,2,8,8,0,1,0,8,2
15,11,1,1,17,95,function,no,8,3,8,8,0,1,0,8,2
15,12,1,2,18,13,hung,hung,1,6,1,1,1,0,0,1,2
15,13,2,2,19,61,reach,no,8,2,8,8,0,1,0,8,2
15,14,2,2,20,184,flat,economics,0,4,5,3,0,0,1,3,2
15,15,2,1,21,169,extra,no,8,4,8,8,0,1,0,8,2
15,16,2,2,22,178,least,bottom,0,2,6,4,0,0,1,3,2
15,17,1,2,11,79,farm,farm,1,6,1,1,1,0,0,1,2
15,18,1,1,4,24,held,century,0,2,4,12,0,0,1,3,2
15,19,2,1,15,181,economic,century,0,4,4,12,0,0,1,3,2
15,20,2,1,23,180,shot,shot,1,6,1,1,1,0,0,1,2
15,21,1,2,24,4,mass,mass,1,6,1,1,1,0,0,1,2
15,22,2,1,8,199,door,door,1,5,1,1,1,0,0,1,2
15,23,1,1,16,59,things,no,8,2,8,8,0,1,0,8,2
15,24,1,2,5,113,century,no,8,3,8,8,0,1,0,8,2
13,1,2,1,11,61,achieve,no,8,3,8,8,0,1,0,8,2
13,2,2,2,5,86,opened,opened,1,3,1,1,1,0,0,1,2
13,3,1,1,14,37,wild,no,8,1,8,8,0,1,0,8,2
13,4,1,1,3,195,carry,wild,0,2,4,12,0,0,1,3,2
13,5,2,2,16,18,ball,spirit,0,2,4,12,0,0,1,3,2
13,6,1,2,19,168,pain,faculty,0,4,5,3,0,0,1,3,2
13,7,2,1,1,22,being,no,8,2,8,8,0,1,0,8,2
13,8,1,1,10,173,reach,faculty,0,4,5,3,0,0,1,3,2
13,9,2,2,6,57,lose,no,8,2,8,8,0,1,0,8,2
13,10,1,1,17,135,moved,pain,0,2,3,11,0,0,1,3,2
13,11,2,2,8,105,rifle,no,8,2,8,8,0,1,0,8,2
13,12,1,2,13,101,older,available,0,5,4,12,0,0,1,3,2
13,13,1,1,18,40,basis,older,0,5,3,11,0,0,1,3,2
13,14,2,1,7,79,identity,no,8,2,8,8,0,1,0,8,2
13,15,1,1,20,82,tests,spent,0,2,6,4,0,0,1,3,2
13,16,1,2,21,150,available,available,1,2,1,1,1,0,0,1,2
13,17,1,2,2,185,spirit,no,8,2,8,8,0,1,0,8,2
13,18,2,1,22,202,joined,wild,0,2,4,12,0,0,1,3,2
13,19,1,2,23,197,hour,hour,1,5,1,1,1,0,0,1,2
13,20,2,1,9,84,court,no,8,2,8,8,0,1,0,8,2
13,21,2,2,15,134,experienced,no,8,2,8,8,0,1,0,8,2
13,22,2,1,24,89,faculty,faculty,1,2,1,1,1,0,0,1,2
13,23,1,2,4,188,watch,no,8,3,8,8,0,1,0,8,2
13,24,2,2,12,70,vast,no,8,1,8,8,0,1,0,8,2
12,1,2,2,7,128,fresh,fresh,1,5,1,1,1,0,0,1,2
12,2,1,2,14,127,signal,no,8,4,8,8,0,1,0,8,2
12,3,2,2,4,1,function,justice,0,1,4,12,0,0,1,3,2
12,4,2,1,6,78,element,element,1,6,1,1,1,0,0,1,2
12,5,1,2,13,156,argument,no,8,5,8,8,0,1,0,8,2
12,6,1,1,15,204,ball,hall,0,4,7,6,0,0,1,3,2
12,7,1,1,2,80,closed,necessarily,0,3,5,3,0,0,1,3,2
12,8,1,2,1,208,peace,no,8,2,8,8,0,1,0,8,2
12,9,1,2,11,10,burning,legs,0,3,4,12,0,0,1,3,2
12,10,2,2,20,15,minute,no,8,1,8,8,0,1,0,8,2
12,11,2,2,17,135,moved,no,8,2,8,8,0,1,0,8,2
12,12,1,1,3,165,greater,no,8,3,8,8,0,1,0,8,2
12,13,2,1,18,104,necessarily,no,8,2,8,8,0,1,0,8,2
12,14,2,1,21,94,maybe,maybe,1,4,1,1,1,0,0,1,2
12,15,2,1,16,125,join,no,8,1,8,8,0,1,0,8,2
12,16,1,1,19,152,brought,no,8,2,8,8,0,1,0,8,2
12,17,2,2,8,144,industry,no,8,2,8,8,0,1,0,8,2
12,18,1,1,10,209,feeling,feeling,1,3,1,1,1,0,0,1,2
12,19,2,1,22,87,cool,cool,1,4,1,1,1,0,0,1,2
12,20,1,2,23,17,legs,no,8,2,8,8,0,1,0,8,2
12,21,2,1,24,149,roads,no,8,2,8,8,0,1,0,8,2
12,22,2,2,9,167,evening,no,8,1,8,8,0,1,0,8,2
12,23,1,2,12,50,raise,no,8,2,8,8,0,1,0,8,2
12,24,1,1,5,159,justice,no,8,2,8,8,0,1,0,8,2
16,1,1,1,14,181,growth,no,8,1,8,8,0,1,0,8,2
16,2,2,1,5,51,material,no,8,1,8,8,0,1,0,8,2
16,3,2,1,16,61,inches,foreign,0,2,5,3,0,0,1,3,2
16,4,1,1,15,6,depth,depth,1,6,1,1,1,0,0,1,2
16,5,1,1,10,150,lake,no,8,5,8,8,0,1,0,8,2
16,6,1,1,12,141,quiet,quiet,1,6,1,1,1,0,0,1,2
16,7,2,2,17,168,farm,no,8,5,8,8,0,1,0,8,2
16,8,2,1,21,57,following,no,8,1,8,8,0,1,0,8,2
16,9,1,2,22,134,sample,no,8,6,8,8,0,1,0,8,2
16,10,2,1,18,8,leaving,no,8,1,8,8,0,1,0,8,2
16,11,2,1,24,96,nuclear,nuclear,1,4,1,1,1,0,0,1,2
16,12,2,2,23,50,clay,no,8,2,8,8,0,1,0,8,2
16,13,2,1,20,9,gold,no,8,1,8,8,0,1,0,8,2
16,14,1,2,19,161,seeing,no,8,2,8,8,0,1,0,8,2
16,15,1,2,8,108,race,no,8,1,8,8,0,1,0,8,2
16,16,2,2,2,111,hard,no,8,1,8,8,0,1,0,8,2
16,17,1,2,6,94,dropped,no,8,3,8,8,0,1,0,8,2
16,18,2,2,7,14,meeting,seen,0,3,7,7,0,0,1,3,2
16,19,1,1,3,3,minor,no,8,2,8,8,0,1,0,8,2
16,20,1,2,9,148,league,poster,0,4,4,12,0,0,1,3,2
16,21,2,2,4,68,foreign,no,8,2,8,8,0,1,0,8,2
16,22,1,1,1,179,serve,no,8,1,8,8,0,1,0,8,2
16,23,2,2,11,109,opened,follow,0,2,5,3,0,0,1,3,2
16,24,1,2,13,147,post,poster,0,5,7,6,0,0,1,3,2
17,1,1,1,1,102,murder,junior,0,5,3,11,0,0,1,3,2
17,2,2,2,6,141,speaking,sharp,0,2,4,12,0,0,1,3,2
17,3,1,1,13,190,captain,obvious,0,6,3,11,0,0,1,3,2
17,4,2,2,12,82,something,king,0,3,4,12,0,0,1,3,2
17,5,1,2,15,44,shown,engine,0,4,6,4,0,0,1,3,2
17,6,2,2,4,55,agencies,miles,0,1,6,4,0,0,1,3,2
17,7,2,2,9,81,achieve,king,0,6,4,12,0,0,1,3,2
17,8,1,1,10,18,king,sharp,0,6,4,12,0,0,1,3,2
