Subject,Balance,PostMemCue,Condition,Block,WordPair,FreeRecallPair,FreeRecallSingleton,FreeRecallTotal,CuedRecall
1,A,**EEE**,Attention,B1,Revolution - Pfanne,,,,1
1,A,**EEE**,Attention,B1,Bett - Behälter,,,,1
1,A,**VVV**,Attention,B1,Richter - Konferenz,,,,
1,A,**VVV**,Attention,B1,Nation - Auffassung,,,,
1,A,**EEE**,Attention,B1,Sicherheit - Politik,1,,1,1
1,A,**EEE**,Attention,B2,Interesse - Schere,1,,1,1
1,A,**VVV**,Attention,B2,Darstellung - Fluss,,,,
1,A,**EEE**,Attention,B2,Kommission - Seil,,,,0
1,A,**EEE**,Attention,B2,Mitglied - Halle,,,,0
1,A,**EEE**,Attention,B2,Schauspieler - Frau,,,,1
1,A,**VVV**,Attention,B2,Urteil - Finger,,,,
1,A,**EEE**,Attention,B2,Gitter - Schlauch,1,,1,0
1,A,**VVV**,Attention,B2,Falle - Heizung,,,,
1,A,**VVV**,Attention,B2,Beutel - Lenkrad,,,,
1,A,**VVV**,Attention,B2,Lackierung - Marathon,,,,
1,A,**VVV**,Attention,B2,Schüler - Leben,,,,
1,A,**EEE**,Attention,B2,Denken - Park,1,,1,1
1,A,**EEE**,Attention,B2,Ansicht - Fisch,,,,1
1,A,**VVV**,Attention,B2,Person - Schule,,,,
1,A,**EEE**,Attention,B2,Produktion - Platz,,,,1
1,A,**VVV**,Attention,B2,Laden - Knopf,,,,
1,A,**VVV**,Attention,B2,Winter - Marke,,,,
1,A,**VVV**,Attention,B2,Opfer - Wolke,,,,
1,A,**EEE**,Attention,B2,Mönch - Minute,,,,1
1,A,**EEE**,Attention,B2,Handel - Gewalt,1,,1,1
1,A,**VVV**,Attention,B2,Minister - Rolle,,,,
1,A,**VVV**,Attention,B2,Freibad - Abfall,,,,
1,A,**EEE**,Attention,B2,Küche - Gespräch,1,,1,1
1,A,**EEE**,Attention,B2,Form - Nagel,,1,0.5,0
1,A,**EEE**,RehearsalAttention,C1,Raum - Berliner,,,,0
1,A,**EEE**,RehearsalAttention,C1,Arme - Glück,,,,1
1,A,**VVV**,RehearsalAttention,C1,Haltung - Ball,,,,
1,A,**VVV**,RehearsalAttention,C1,Umstand - Socken,,,,
1,A,**VVV**,RehearsalAttention,C1,Entscheidung - Tüte,,,,
1,A,**EEE**,RehearsalAttention,C1,Haus - System,,,,1
1,A,**EEE**,RehearsalAttention,C1,Idee - Morgen,,,,1
1,A,**VVV**,RehearsalAttention,C1,Geist - Lage,,,,
1,A,**VVV**,RehearsalAttention,C1,Kenntnis - Wase,,,,
1,A,**VVV**,RehearsalAttention,C1,Wissenschaft - Tasse,,,,
1,A,**EEE**,RehearsalAttention,C1,Industrie - Artikel,,,,0
1,A,**EEE**,RehearsalAttention,C1,Prinzip - Zaun,,1,0.5,0
1,A,**EEE**,RehearsalAttention,C1,Werk - Aufgabe,,,,0
1,A,**EEE**,RehearsalAttention,C1,Funktion - Dorf,,,,0
1,A,**VVV**,RehearsalAttention,C1,Dame - Verfügung,,,,
1,A,**VVV**,RehearsalAttention,C1,Druck - Topf,,,,
1,A,**EEE**,RehearsalAttention,C1,Mitte - Stift,1,,1,1
1,A,**EEE**,RehearsalAttention,C1,Vorschlag - Poster,1,,1,1
1,A,**VVV**,RehearsalAttention,C1,Grund - Urkunde,,,,
1,A,**EEE**,RehearsalAttention,C1,Zahl - Verhalten,,,,0
1,A,**VVV**,RehearsalAttention,C1,Staat - Regierung,,,,
1,A,**EEE**,RehearsalAttention,C1,Chef - Acker,,,,1
1,A,**VVV**,RehearsalAttention,C1,Größe - Beschreibung,,,,
1,A,**VVV**,RehearsalAttention,C1,Richtung - Maß,,,,
1,A,**EEE**,RehearsalAttention,C2,Monat - Mitarbeiter,,,,1
1,A,**EEE**,RehearsalAttention,C2,Theater - Zeitung,,,,1
1,A,**VVV**,RehearsalAttention,C2,Seele - Presse,,,,
1,A,**VVV**,RehearsalAttention,C2,Hälfte - Klettern,,,,
1,A,**VVV**,RehearsalAttention,C2,Anzahl - Telefon,,,,
1,A,**VVV**,RehearsalAttention,C2,Wesen - Durchführung,,,,
1,A,**EEE**,RehearsalAttention,C2,Inhalt - Zweck,,,,1
1,A,**EEE**,RehearsalAttention,C2,Wasser - Brief,,,,1
1,A,**VVV**,RehearsalAttention,C2,Behandlung - Schrift,,,,
1,A,**VVV**,RehearsalAttention,C2,Liebe - Sprache,,,,
1,A,**EEE**,RehearsalAttention,C2,Bauer - Versuch,,,,0
1,A,**EEE**,RehearsalAttention,C2,Bereich - Berg,,,,1
1,A,**EEE**,RehearsalAttention,C2,Jugend - General,,,,1
1,A,**VVV**,RehearsalAttention,C2,Arzt - Klasse,,,,
1,A,**VVV**,RehearsalAttention,C2,Kaiser - Tat,,,,
1,A,**VVV**,RehearsalAttention,C2,Partei - Herz,,,,
1,A,**EEE**,RehearsalAttention,C2,Geschichte - Ergebnis,,,,1
1,A,**VVV**,RehearsalAttention,C2,Gelegenheit - Ordner,,,,
1,A,**VVV**,RehearsalAttention,C2,Stunde - Polizei,,,,
1,A,**EEE**,RehearsalAttention,C2,Schädel - Million,,,,1
1,A,**EEE**,RehearsalAttention,C2,Kultur - Bedeutung,,,,1
1,A,**EEE**,RehearsalAttention,C2,Mädchen - Ding,1,,1,1
1,A,**EEE**,RehearsalAttention,C2,Zeit - Ventil,,,,0
1,A,**VVV**,RehearsalAttention,C2,Schaden - Bein,,,,
1,A,**VVV**,Control,D1,Hocker - König,,,,
1,A,**EEE**,Control,D1,Menge - Ziegel,,,,1
1,A,**VVV**,Control,D1,Ort - Blatt,,,,
1,A,**VVV**,Control,D1,Meinung - Macht,,,,
1,A,**VVV**,Control,D1,Prozent - Rasen,,,,
1,A,**EEE**,Control,D1,Karton - Koffer,,,,0
1,A,**EEE**,Control,D1,Waffe - Kamin,,,,1
1,A,**VVV**,Control,D1,Auge - Einfluss,,,,
1,A,**VVV**,Control,D1,Vater - Möglichkeit,,,,
1,A,**EEE**,Control,D1,Jahrhundert - Stern,,,,1
1,A,**VVV**,Control,D1,Fassade - Girlande,,,,
1,A,**EEE**,Control,D1,Zweifel - Aussicht,,1,0.5,0
1,A,**EEE**,Control,D1,Punkt - Woche,,,,0
1,A,**VVV**,Control,D1,Mund - Schrank,,,,
1,A,**EEE**,Control,D1,Düne - Arena,1,,1,1
1,A,**VVV**,Control,D1,Schritt - Arbeit,,,,
1,A,**EEE**,Control,D1,Insel - Sofa,,,,0
1,A,**EEE**,Control,D1,Gesicht - Verwaltung,1,,1,1
1,A,**EEE**,Control,D1,Führung - Wandern,,,,1
1,A,**VVV**,Control,D1,Abkommen - Meer,,,,
1,A,**EEE**,Control,D1,Tag - Wald,,,,1
1,A,**VVV**,Control,D1,Anspruch - Leiste,,,,
1,A,**EEE**,Control,D1,Verhältnis - Titel,1,,1,1
1,A,**VVV**,Control,D1,Spiegel - Fenster,,,,
1,A,**VVV**,Control,D2,Name - Akademie,,,,
1,A,**VVV**,Control,D2,Satz - Bevölkerung,,,,
1,A,**EEE**,Control,D2,Gestalt - Karte,1,,1,1
1,A,**VVV**,Control,D2,Kacheln - Scheibe,,,,
1,A,**VVV**,Control,D2,Rücken - Angst,,,,
1,A,**VVV**,Control,D2,Heimat - Eindruck,,,,
1,A,**EEE**,Control,D2,Sohn - Angeklagte,,,,1
1,A,**EEE**,Control,D2,Bürger - Philosophie,1,,1,1
1,A,**EEE**,Control,D2,Wein - Unterführung,,,,1
1,A,**VVV**,Control,D2,Wohnung - Stadt,,,,
1,A,**VVV**,Control,D2,Verbindung - Seite,,,,
1,A,**EEE**,Control,D2,Preis - Schwierigkeit,,,,0
1,A,**EEE**,Control,D2,Verhandlung - Westen,,,,0
1,A,**VVV**,Control,D2,Zeichen - Sache,,,,
1,A,**VVV**,Control,D2,Hoffnung - Bedingung,,,,
1,A,**EEE**,Control,D2,Einheit - Erklärung,,1,0.5,0
1,A,**EEE**,Control,D2,Nähe - Computer,,,,0
1,A,**EEE**,Control,D2,Folge - Kabel,,,,0
1,A,**VVV**,Control,D2,Spiel - Gegensatz,,,,
1,A,**EEE**,Control,D2,Literatur - Wirklichkeit,,,,1
1,A,**VVV**,Control,D2,Krieg - Foto,,,,
1,A,**EEE**,Control,D2,Gedanke - Linie,,,,0
1,A,**EEE**,Control,D2,Schicksal - Weise,,,,1
1,A,**VVV**,Control,D2,Land - Gegenwart,,,,
2,B,**VVV**,Rehearsal,A1,Volk - Straße,,,,
2,B,**EEE**,Rehearsal,A1,Kind - Gericht,1,,1,1
2,B,**EEE**,Rehearsal,A1,Hand - Planet,1,,1,1
2,B,**VVV**,Rehearsal,A1,Mittel - Zusammenhang,,,,
2,B,**EEE**,Rehearsal,A1,Zustand - Schnee,1,,1,1
2,B,**EEE**,Rehearsal,A1,Rat - Stein,1,,1,1
2,B,**VVV**,Rehearsal,A1,Lösung - Körper,,,,
2,B,**VVV**,Rehearsal,A1,Tier - Flasche,,,,
2,B,**EEE**,Rehearsal,A1,Gegenstand - Pferd,1,,1,1
2,B,**EEE**,Rehearsal,A1,Kosten - Jahr,,,,1
2,B,**VVV**,Rehearsal,A1,Schutz - Bildung,,,,
2,B,**VVV**,Rehearsal,A1,Untersuchung - Brücke,,,,
2,B,**EEE**,Rehearsal,A1,Welt - Willen,,,,0
2,B,**EEE**,Rehearsal,A1,Ozean - Lehne,,1,0.5,1
2,B,**EEE**,Rehearsal,A1,Kritik - Buch,,,,0
2,B,**EEE**,Rehearsal,A1,Tatsache - Schläger,,1,0.5,0
2,B,**VVV**,Rehearsal,A1,Stachel - Armee,,,,
2,B,**VVV**,Rehearsal,A1,Stimme - Tätigkeit,,,,
2,B,**VVV**,Rehearsal,A1,Beispiel - Blut,,,,
2,B,**VVV**,Rehearsal,A1,Verlobung - Augenblick,,,,
2,B,**EEE**,Rehearsal,A1,Stamm - Garten,,1,0.5,0
2,B,**VVV**,Rehearsal,A1,Teil - Besen,,,,
2,B,**EEE**,Rehearsal,A1,Ausdruck - Bruder,1,,1,1
2,B,**VVV**,Rehearsal,A1,Gruppe - Stück,,,,
2,B,**EEE**,Rehearsal,A2,Kirche - Zimmer,1,,1,1
2,B,**EEE**,Rehearsal,A2,Gefühl - Wert,,,,0
2,B,**EEE**,Rehearsal,A2,Antrag - Sport,,,,0
2,B,**VVV**,Rehearsal,A2,Farbe - Roller,,,,
2,B,**VVV**,Rehearsal,A2,Rede - Vorstellung,,,,
2,B,**EEE**,Rehearsal,A2,Tanne - Geige,,,,0
2,B,**VVV**,Rehearsal,A2,Schneider - Nacht,,,,
2,B,**EEE**,Rehearsal,A2,Natur - Blick,,,,0
2,B,**EEE**,Rehearsal,A2,Erfahrung - Sand,,,,0
2,B,**EEE**,Rehearsal,A2,Kopf - Leitung,,,,0
2,B,**VVV**,Rehearsal,A2,Luft - Unterstützung,,,,
2,B,**EEE**,Rehearsal,A2,Kreis - Erkenntnis,,,,0
2,B,**EEE**,Rehearsal,A2,Wort - Anwendung,,,,0
2,B,**VVV**,Rehearsal,A2,Erde - Ordnung,,,,
2,B,**VVV**,Rehearsal,A2,Wirkung - Vertreter,,,,
2,B,**VVV**,Rehearsal,A2,Wirtschaft - Vertrag,,,,
2,B,**EEE**,Rehearsal,A2,Tür - Theorie,1,,1,1
2,B,**EEE**,Rehearsal,A2,Organisation - Statue,,1,0.5,0
2,B,**VVV**,Rehearsal,A2,Mensch - Rechte,,,,
2,B,**VVV**,Rehearsal,A2,Boden - Gebiet,,,,
2,B,**VVV**,Rehearsal,A2,Ofen - Gardinen,,,,
2,B,**VVV**,Rehearsal,A2,Regel - Bild,,,,
2,B,**VVV**,Rehearsal,A2,Abschluss - Rathaus,,,,
2,B,**EEE**,Rehearsal,A2,Feind - Bewusstsein,,,,0
2,B,**VVV**,Attention,B1,Eltern - Salz,,,,
2,B,**EEE**,Attention,B1,Zukunft - Hilfe,,,,0
2,B,**VVV**,Attention,B1,Schluß - Boot,,,,
2,B,**VVV**,Attention,B1,Gegner - Musik,,,,
2,B,**VVV**,Attention,B1,Wahrheit - Leute,,,,
2,B,**VVV**,Attention,B1,Klausur - Bauch,,,,
2,B,**VVV**,Attention,B1,Sicherheit - Politik,,,,
2,B,**EEE**,Attention,B1,Wagen - Decke,,,,0
2,B,**EEE**,Attention,B1,Schreibtisch - Stelle,,,,0
2,B,**EEE**,Attention,B1,Gefahr - Zahn,,,,0
2,B,**VVV**,Attention,B1,Verfassung - Locher,,,,
2,B,**VVV**,Attention,B1,Bett - Behälter,,,,
2,B,**EEE**,Attention,B1,Nation - Auffassung,,,,0
2,B,**EEE**,Attention,B1,Schwester - Entwicklung,,1,0.5,0
2,B,**VVV**,Attention,B1,Revolution - Pfanne,,,,
2,B,**EEE**,Attention,B1,Freiheit - Reihe,,1,0.5,0
2,B,**VVV**,Attention,B1,Beginn - Gans,,,,
2,B,**EEE**,Attention,B1,Soldat - Bericht,1,,1,1
2,B,**EEE**,Attention,B1,Mutter - Papier,1,,1,1
2,B,**EEE**,Attention,B1,Schlüssel - Weg,,,,1
2,B,**VVV**,Attention,B1,Rahmen - Abend,,,,
2,B,**EEE**,Attention,B1,Gesetz - Fräulein,1,,1,1
2,B,**EEE**,Attention,B1,Richter - Konferenz,,,,0
2,B,**VVV**,Attention,B1,Absicht - Welle,,,,
2,B,**EEE**,Attention,B2,Laden - Knopf,1,,1,1
2,B,**VVV**,Attention,B2,Interesse - Schere,,,,
2,B,**VVV**,Attention,B2,Küche - Gespräch,,,,
2,B,**VVV**,Attention,B2,Mönch - Minute,,,,
2,B,**VVV**,Attention,B2,Gitter - Schlauch,,,,
2,B,**EEE**,Attention,B2,Freibad - Abfall,1,,1,1
2,B,**EEE**,Attention,B2,Opfer - Wolke,1,,1,1
2,B,**VVV**,Attention,B2,Produktion - Platz,,,,
2,B,**EEE**,Attention,B2,Minister - Rolle,,,,0
2,B,**VVV**,Attention,B2,Mitglied - Halle,,,,
2,B,**EEE**,Attention,B2,Darstellung - Fluss,,,,0
2,B,**VVV**,Attention,B2,Kommission - Seil,,,,
2,B,**EEE**,Attention,B2,Urteil - Finger,,,,1
2,B,**VVV**,Attention,B2,Ansicht - Fisch,,,,
2,B,**EEE**,Attention,B2,Schüler - Leben,,,,0
2,B,**VVV**,Attention,B2,Schauspieler - Frau,,,,
2,B,**VVV**,Attention,B2,Denken - Park,,,,
2,B,**VVV**,Attention,B2,Form - Nagel,,,,
2,B,**EEE**,Attention,B2,Winter - Marke,,1,0.5,0
2,B,**EEE**,Attention,B2,Person - Schule,1,,1,1
2,B,**EEE**,Attention,B2,Falle - Heizung,1,,1,1
2,B,**EEE**,Attention,B2,Lackierung - Marathon,1,,1,1
2,B,**EEE**,Attention,B2,Beutel - Lenkrad,,1,0.5,0
2,B,**VVV**,Attention,B2,Handel - Gewalt,,,,
2,B,**VVV**,RehearsalAttention,C1,Funktion - Dorf,,,,
2,B,**VVV**,RehearsalAttention,C1,Idee - Morgen,,,,
2,B,**EEE**,RehearsalAttention,C1,Kenntnis - Wase,,,,0
2,B,**VVV**,RehearsalAttention,C1,Werk - Aufgabe,,,,
2,B,**VVV**,RehearsalAttention,C1,Prinzip - Zaun,,,,
2,B,**VVV**,RehearsalAttention,C1,Raum - Berliner,,,,
2,B,**VVV**,RehearsalAttention,C1,Arme - Glück,,,,
2,B,**VVV**,RehearsalAttention,C1,Zahl - Verhalten,,,,
2,B,**EEE**,RehearsalAttention,C1,Geist - Lage,,,,0
2,B,**EEE**,RehearsalAttention,C1,Druck - Topf,,,,0
2,B,**EEE**,RehearsalAttention,C1,Haltung - Ball,,1,0.5,0
2,B,**VVV**,RehearsalAttention,C1,Vorschlag - Poster,,,,
2,B,**VVV**,RehearsalAttention,C1,Industrie - Artikel,,,,
2,B,**EEE**,RehearsalAttention,C1,Umstand - Socken,1,,1,1
2,B,**EEE**,RehearsalAttention,C1,Grund - Urkunde,,,,0
2,B,**EEE**,RehearsalAttention,C1,Entscheidung - Tüte,1,,1,0
2,B,**VVV**,RehearsalAttention,C1,Haus - System,,,,
2,B,**EEE**,RehearsalAttention,C1,Richtung - Maß,1,,1,1
2,B,**VVV**,RehearsalAttention,C1,Mitte - Stift,,,,
2,B,**EEE**,RehearsalAttention,C1,Größe - Beschreibung,1,,1,1
2,B,**EEE**,RehearsalAttention,C1,Staat - Regierung,,,,1
2,B,**EEE**,RehearsalAttention,C1,Dame - Verfügung,,,,0
2,B,**EEE**,RehearsalAttention,C1,Wissenschaft - Tasse,,1,0.5,1
2,B,**VVV**,RehearsalAttention,C1,Chef - Acker,,,,
2,B,**VVV**,RehearsalAttention,C2,Zeit - Ventil,,,,
2,B,**VVV**,RehearsalAttention,C2,Mädchen - Ding,,,,
2,B,**VVV**,RehearsalAttention,C2,Wasser - Brief,,,,
2,B,**EEE**,RehearsalAttention,C2,Wesen - Durchführung,1,,1,1
2,B,**VVV**,RehearsalAttention,C2,Theater - Zeitung,,,,
2,B,**VVV**,RehearsalAttention,C2,Monat - Mitarbeiter,,,,
2,B,**EEE**,RehearsalAttention,C2,Behandlung - Schrift,,,,0
2,B,**EEE**,RehearsalAttention,C2,Kaiser - Tat,1,,1,1
2,B,**VVV**,RehearsalAttention,C2,Bereich - Berg,,,,
2,B,**EEE**,RehearsalAttention,C2,Anzahl - Telefon,,,,0
2,B,**EEE**,RehearsalAttention,C2,Liebe - Sprache,,,,0
2,B,**EEE**,RehearsalAttention,C2,Partei - Herz,,,,1
2,B,**VVV**,RehearsalAttention,C2,Inhalt - Zweck,,,,
2,B,**VVV**,RehearsalAttention,C2,Geschichte - Ergebnis,,,,
2,B,**EEE**,RehearsalAttention,C2,Hälfte - Klettern,1,,1,1
2,B,**VVV**,RehearsalAttention,C2,Jugend - General,,,,
2,B,**EEE**,RehearsalAttention,C2,Schaden - Bein,1,,1,1
2,B,**EEE**,RehearsalAttention,C2,Stunde - Polizei,1,,1,1
2,B,**EEE**,RehearsalAttention,C2,Seele - Presse,,,,0
2,B,**EEE**,RehearsalAttention,C2,Arzt - Klasse,1,,1,1
2,B,**EEE**,RehearsalAttention,C2,Gelegenheit - Ordner,1,,1,1
2,B,**VVV**,RehearsalAttention,C2,Bauer - Versuch,,,,
2,B,**VVV**,RehearsalAttention,C2,Schädel - Million,,,,
2,B,**VVV**,RehearsalAttention,C2,Kultur - Bedeutung,,,,
2,B,**EEE**,Control,D1,Vater - Möglichkeit,1,,1,1
2,B,**EEE**,Control,D1,Prozent - Rasen,,,,0
2,B,**EEE**,Control,D1,Spiegel - Fenster,1,,1,0
2,B,**VVV**,Control,D1,Gesicht - Verwaltung,,,,
2,B,**VVV**,Control,D1,Verhältnis - Titel,,,,
2,B,**EEE**,Control,D1,Hocker - König,1,,1,1
2,B,**EEE**,Control,D1,Meinung - Macht,1,,1,1
2,B,**EEE**,Control,D1,Fassade - Girlande,1,,1,1
2,B,**VVV**,Control,D1,Jahrhundert - Stern,,,,
2,B,**VVV**,Control,D1,Zweifel - Aussicht,,,,
2,B,**VVV**,Control,D1,Führung - Wandern,,,,
2,B,**EEE**,Control,D1,Auge - Einfluss,1,,1,1
2,B,**VVV**,Control,D1,Punkt - Woche,,,,
2,B,**VVV**,Control,D1,Tag - Wald,,,,
2,B,**EEE**,Control,D1,Ort - Blatt,,1,0.5,1
2,B,**EEE**,Control,D1,Schritt - Arbeit,1,,1,1
2,B,**VVV**,Control,D1,Düne - Arena,,,,
2,B,**EEE**,Control,D1,Abkommen - Meer,1,,1,1
2,B,**VVV**,Control,D1,Menge - Ziegel,,,,
2,B,**EEE**,Control,D1,Mund - Schrank,,1,0.5,1
2,B,**EEE**,Control,D1,Anspruch - Leiste,,1,0.5,1
2,B,**VVV**,Control,D1,Insel - Sofa,,,,
2,B,**VVV**,Control,D1,Waffe - Kamin,,,,
2,B,**VVV**,Control,D1,Karton - Koffer,,,,
2,B,**EEE**,Control,D2,Spiel - Gegensatz,1,,1,1
2,B,**EEE**,Control,D2,Heimat - Eindruck,,,,0
2,B,**EEE**,Control,D2,Zeichen - Sache,1,,1,1
2,B,**EEE**,Control,D2,Satz - Bevölkerung,,1,0.5,0
2,B,**EEE**,Control,D2,Wohnung - Stadt,1,,1,1
2,B,**VVV**,Control,D2,Nähe - Computer,,,,
2,B,**VVV**,Control,D2,Schicksal - Weise,,,,
2,B,**VVV**,Control,D2,Sohn - Angeklagte,,,,
2,B,**EEE**,Control,D2,Rücken - Angst,,,,1
2,B,**EEE**,Control,D2,Krieg - Foto,,,,1
2,B,**VVV**,Control,D2,Einheit - Erklärung,,,,
2,B,**VVV**,Control,D2,Folge - Kabel,,,,
2,B,**VVV**,Control,D2,Gestalt - Karte,,,,
2,B,**EEE**,Control,D2,Land - Gegenwart,,,,1
2,B,**VVV**,Control,D2,Gedanke - Linie,,,,
2,B,**EEE**,Control,D2,Hoffnung - Bedingung,,,,1
2,B,**EEE**,Control,D2,Name - Akademie,,,,0
2,B,**VVV**,Control,D2,Bürger - Philosophie,,,,
2,B,**EEE**,Control,D2,Verbindung - Seite,,,,1
2,B,**VVV**,Control,D2,Preis - Schwierigkeit,,,,
2,B,**VVV**,Control,D2,Verhandlung - Westen,,,,
2,B,**EEE**,Control,D2,Kacheln - Scheibe,1,,1,1
2,B,**VVV**,Control,D2,Literatur - Wirklichkeit,,,,
2,B,**VVV**,Control,D2,Wein - Unterführung,,,,
3,C,**EEE**,Rehearsal,A1,Schneider - Nacht,,,,0
3,C,**VVV**,Rehearsal,A1,Erfahrung - Sand,,,,
3,C,**EEE**,Rehearsal,A1,Regel - Bild,,,,0
3,C,**EEE**,Rehearsal,A1,Farbe - Roller,,,,0
3,C,**VVV**,Rehearsal,A1,Kopf - Leitung,,,,
3,C,**VVV**,Rehearsal,A1,Kreis - Erkenntnis,,,,
3,C,**EEE**,Rehearsal,A1,Ofen - Gardinen,,,,0
3,C,**VVV**,Rehearsal,A1,Feind - Bewusstsein,,,,
3,C,**VVV**,Rehearsal,A1,Gefühl - Wert,,,,
3,C,**VVV**,Rehearsal,A1,Tanne - Geige,,,,
3,C,**EEE**,Rehearsal,A1,Mensch - Rechte,1,,1,1
3,C,**VVV**,Rehearsal,A1,Kirche - Zimmer,,,,
3,C,**VVV**,Rehearsal,A1,Natur - Blick,,,,
3,C,**EEE**,Rehearsal,A1,Abschluss - Rathaus,,,,0
3,C,**VVV**,Rehearsal,A1,Antrag - Sport,,,,
3,C,**VVV**,Rehearsal,A1,Wort - Anwendung,,,,
3,C,**VVV**,Rehearsal,A1,Organisation - Statue,,,,
3,C,**EEE**,Rehearsal,A1,Rede - Vorstellung,,,,0
3,C,**VVV**,Rehearsal,A1,Tür - Theorie,,,,
3,C,**EEE**,Rehearsal,A1,Wirkung - Vertreter,,,,0
3,C,**EEE**,Rehearsal,A1,Erde - Ordnung,,,,0
3,C,**EEE**,Rehearsal,A1,Wirtschaft - Vertrag,,,,0
3,C,**EEE**,Rehearsal,A1,Boden - Gebiet,,,,0
3,C,**EEE**,Rehearsal,A1,Luft - Unterstützung,1,,1,0
