Subject,WordPair,MemCuePost,CuedRecall,FreeRecall_Total_prob
8,Liebe - Sprache,**EEE**,0,0
8,Beziehung - Wunsch,**EEE**,1,1
8,Seele - Presse,**VVV**,0,0
8,Tochter - Dienst,**VVV**,0,0
8,Zeichen - Sache,**EEE**,0,0
8,Kirche - Zimmer,**VVV**,0,0
8,Partei - Herz,**EEE**,1,0
8,Gegner - Musik,**VVV**,0,0
8,Arzt - Klasse,**VVV**,0,0
8,Truppe - Uhr,**EEE**,0,0
8,Kosten - Jahr,**EEE**,0,0
8,Soldat - Bericht,**VVV**,0,0
8,Haus - System,**VVV**,0,0
8,Gesicht - Verwaltung,**VVV**,0,0
8,Recht - Frage,**VVV**,0,0
8,Rahmen - Abend,**EEE**,0,1
8,Höhe - Kapital,**EEE**,0,0.5
8,Wasser - Brief,**EEE**,0,0
8,Himmel - Kraft,**VVV**,0,0
9,Partei - Herz,**VVV**,1,1
9,Tochter - Dienst,**EEE**,1,0
9,Truppe - Uhr,**VVV**,1,0.5
9,Arzt - Klasse,**EEE**,0,0
9,Soldat - Bericht,**EEE**,1,1
9,Gesicht - Verwaltung,**EEE**,0,0.5
9,Kosten - Jahr,**VVV**,0,0
9,Liebe - Sprache,**VVV**,1,1
9,Recht - Frage,**EEE**,0,0
9,Zukunft - Hilfe,**EEE**,0,0
9,Spiegel - Fenster,**VVV**,0,0
9,Kirche - Zimmer,**EEE**,0,0
9,Haus - System,**EEE**,0,0
9,Zeichen - Sache,**VVV**,0,0
9,Höhe - Kapital,**VVV**,0,0
9,Stimme - Tätigkeit,**VVV**,0,0
9,Staat - Regierung,**EEE**,0,0
9,Rahmen - Abend,**VVV**,0,0
9,Zeit - Ventil,**VVV**,0,0
9,Beziehung - Wunsch,**VVV**,1,0
9,Wasser - Brief,**VVV**,0,0
9,Seele - Presse,**EEE**,1,0
9,Himmel - Kraft,**EEE**,0,0
9,Gegner - Musik,**EEE**,1,0
10,Liebe - Sprache,**EEE**,1,1
10,Stimme - Tätigkeit,**EEE**,0,0.5
10,Kosten - Jahr,**EEE**,1,0
10,Gegner - Musik,**VVV**,0,0
10,Partei - Herz,**EEE**,1,0
10,Beziehung - Wunsch,**EEE**,0,0
10,Kirche - Zimmer,**VVV**,0,0
10,Rahmen - Abend,**EEE**,1,0
10,Höhe - Kapital,**EEE**,1,0.5
10,Arzt - Klasse,**VVV**,1,0
10,Gesicht - Verwaltung,**VVV**,0,0
10,Zukunft - Hilfe,**VVV**,0,0
10,Truppe - Uhr,**EEE**,0,0
10,Staat - Regierung,**VVV**,1,0
10,Soldat - Bericht,**VVV**,0,0
10,Tochter - Dienst,**VVV**,0,0
10,Zeichen - Sache,**EEE**,1,1
10,Zeit - Ventil,**EEE**,0,0
10,Seele - Presse,**VVV**,1,0
10,Spiegel - Fenster,**EEE**,1,0
10,Haus - System,**VVV**,1,0
10,Wasser - Brief,**EEE**,1,1
10,Recht - Frage,**VVV**,1,1
10,Himmel - Kraft,**VVV**,1,0
11,Soldat - Bericht,**EEE**,1,1
11,Kosten - Jahr,**VVV**,0,0
11,Höhe - Kapital,**VVV**,0,0
11,Beziehung - Wunsch,**VVV**,0,0
11,Spiegel - Fenster,**VVV**,1,1
11,Zeichen - Sache,**VVV**,0,0
11,Haus - System,**EEE**,0,0
11,Liebe - Sprache,**VVV**,0,0
11,Truppe - Uhr,**VVV**,0,0
11,Seele - Presse,**EEE**,0,0
11,Zukunft - Hilfe,**EEE**,0,0
11,Partei - Herz,**VVV**,0,0
11,Recht - Frage,**EEE**,0,0
11,Gegner - Musik,**EEE**,0,0
11,Gesicht - Verwaltung,**EEE**,0,0
11,Zeit - Ventil,**VVV**,0,0
11,Rahmen - Abend,**VVV**,0,0
11,Staat - Regierung,**EEE**,0,0
11,Himmel - Kraft,**EEE**,0,0
11,Wasser - Brief,**VVV**,0,0
11,Kirche - Zimmer,**EEE**,0,0
11,Tochter - Dienst,**EEE**,0,0
11,Stimme - Tätigkeit,**VVV**,0,0
11,Arzt - Klasse,**EEE**,1,1
12,Haus - System,**VVV**,0,0
12,Liebe - Sprache,**EEE**,1,1
12,Arzt - Klasse,**VVV**,1,0
12,Stimme - Tätigkeit,**EEE**,0,0
12,Truppe - Uhr,**EEE**,0,0
12,Seele - Presse,**VVV**,1,0
12,Himmel - Kraft,**VVV**,0,0
12,Recht - Frage,**VVV**,0,0
12,Kirche - Zimmer,**VVV**,1,1
12,Zeit - Ventil,**EEE**,0,0
12,Gesicht - Verwaltung,**VVV**,0,0
12,Höhe - Kapital,**EEE**,0,0
12,Soldat - Bericht,**VVV**,0,0.5
12,Partei - Herz,**EEE**,0,0
12,Zukunft - Hilfe,**VVV**,0,0
12,Spiegel - Fenster,**EEE**,1,1
12,Gegner - Musik,**VVV**,0,0
12,Staat - Regierung,**VVV**,0,0
12,Kosten - Jahr,**EEE**,0,0
12,Beziehung - Wunsch,**EEE**,0,0
12,Wasser - Brief,**EEE**,0,0
12,Rahmen - Abend,**EEE**,0,0
12,Zeichen - Sache,**EEE**,0,0
12,Tochter - Dienst,**VVV**,0,0
13,Rahmen - Abend,**VVV**,0,0.5
13,Liebe - Sprache,**VVV**,0,0.5
13,Partei - Herz,**VVV**,1,1
13,Beziehung - Wunsch,**VVV**,1,1
13,Seele - Presse,**EEE**,0,0
13,Zeichen - Sache,**VVV**,0,0
13,Gegner - Musik,**EEE**,0,0
13,Kirche - Zimmer,**EEE**,1,1
13,Arzt - Klasse,**EEE**,1,1
13,Haus - System,**EEE**,0,0
13,Recht - Frage,**EEE**,0,0.5
13,Kosten - Jahr,**VVV**,0,0.5
13,Stimme - Tätigkeit,**VVV**,0,0
13,Tochter - Dienst,**EEE**,0,1
13,Wasser - Brief,**VVV**,1,1
13,Spiegel - Fenster,**VVV**,1,1
13,Truppe - Uhr,**VVV**,0,0.5
13,Soldat - Bericht,**EEE**,0,0.5
13,Zeit - Ventil,**VVV**,0,0
13,Himmel - Kraft,**EEE**,1,1
13,Höhe - Kapital,**VVV**,1,1
13,Gesicht - Verwaltung,**EEE**,0,0
13,Staat - Regierung,**EEE**,0,0
13,Zukunft - Hilfe,**EEE**,0,0
14,Kirche - Zimmer,**VVV**,0,0.5
14,Gegner - Musik,**VVV**,0,0
14,Tochter - Dienst,**VVV**,0,0
14,Gesicht - Verwaltung,**VVV**,0,0
14,Wasser - Brief,**EEE**,1,1
14,Stimme - Tätigkeit,**EEE**,1,0.5
14,Haus - System,**VVV**,0,0
14,Rahmen - Abend,**EEE**,0,0
14,Beziehung - Wunsch,**EEE**,1,1
14,Kosten - Jahr,**EEE**,0,0
14,Seele - Presse,**VVV**,0,0
14,Spiegel - Fenster,**EEE**,1,1
14,Liebe - Sprache,**EEE**,0,0
14,Himmel - Kraft,**VVV**,0,0
14,Höhe - Kapital,**EEE**,0,0
14,Truppe - Uhr,**EEE**,1,1
14,Recht - Frage,**VVV**,0,0
14,Soldat - Bericht,**VVV**,0,0
14,Zeit - Ventil,**EEE**,0,0.5
14,Zukunft - Hilfe,**VVV**,0,0
14,Arzt - Klasse,**VVV**,0,0
14,Zeichen - Sache,**EEE**,0,0
14,Staat - Regierung,**VVV**,0,0
14,Partei - Herz,**EEE**,1,1
15,Kirche - Zimmer,**EEE**,1,1
15,Spiegel - Fenster,**VVV**,1,1
15,Stimme - Tätigkeit,**VVV**,0,0
15,Liebe - Sprache,**VVV**,1,0
15,Gesicht - Verwaltung,**EEE**,0,0
15,Recht - Frage,**EEE**,1,0
15,Truppe - Uhr,**VVV**,0,0
15,Soldat - Bericht,**EEE**,0,0
15,Tochter - Dienst,**EEE**,1,0
15,Partei - Herz,**VVV**,0,0
15,Gegner - Musik,**EEE**,1,0
15,Arzt - Klasse,**EEE**,1,0
15,Kosten - Jahr,**VVV**,0,0
15,Seele - Presse,**EEE**,1,1
15,Beziehung - Wunsch,**VVV**,1,0
15,Himmel - Kraft,**EEE**,1,0
15,Zeichen - Sache,**VVV**,0,0
15,Zukunft - Hilfe,**EEE**,1,0
15,Wasser - Brief,**VVV**,0,0.5
15,Rahmen - Abend,**VVV**,1,0
15,Zeit - Ventil,**VVV**,0,0
15,Haus - System,**EEE**,1,1
15,Staat - Regierung,**EEE**,1,0
15,Höhe - Kapital,**VVV**,0,0
16,Zukunft - Hilfe,**VVV**,0,0
16,Rahmen - Abend,**EEE**,1,0
16,Zeichen - Sache,**EEE**,1,1
16,Himmel - Kraft,**VVV**,0,0
16,Höhe - Kapital,**EEE**,1,0
16,Truppe - Uhr,**EEE**,0,0
16,Arzt - Klasse,**VVV**,0,0
16,Wasser - Brief,**EEE**,1,0
16,Kosten - Jahr,**EEE**,1,0
16,Tochter - Dienst,**VVV**,0,0
16,Zeit - Ventil,**EEE**,0,0
16,Haus - System,**VVV**,0,0
16,Beziehung - Wunsch,**EEE**,1,1
16,Liebe - Sprache,**EEE**,0,1
16,Kirche - Zimmer,**VVV**,0,0
16,Soldat - Bericht,**VVV**,0,0
16,Spiegel - Fenster,**EEE**,1,0
16,Gesicht - Verwaltung,**VVV**,0,0
16,Recht - Frage,**VVV**,1,0
16,Staat - Regierung,**VVV**,1,1
16,Partei - Herz,**EEE**,1,0
16,Seele - Presse,**VVV**,0,0
16,Stimme - Tätigkeit,**EEE**,1,1
16,Gegner - Musik,**VVV**,0,0
17,Recht - Frage,**EEE**,1,0
17,Zukunft - Hilfe,**EEE**,0,0
17,Soldat - Bericht,**EEE**,0,0
17,Gegner - Musik,**EEE**,1,0
17,Wasser - Brief,**VVV**,0,0
17,Höhe - Kapital,**VVV**,0,0
17,Beziehung - Wunsch,**VVV**,0,0
17,Rahmen - Abend,**VVV**,1,0
17,Zeit - Ventil,**VVV**,0,0.5
17,Seele - Presse,**EEE**,0,0.5
17,Spiegel - Fenster,**VVV**,1,0
17,Liebe - Sprache,**VVV**,0,0
17,Zeichen - Sache,**VVV**,0,0
17,Tochter - Dienst,**EEE**,0,0
17,Kosten - Jahr,**VVV**,0,0
17,Staat - Regierung,**EEE**,0,0
17,Gesicht - Verwaltung,**EEE**,0,0
17,Arzt - Klasse,**EEE**,0,0
17,Partei - Herz,**VVV**,0,0
17,Truppe - Uhr,**VVV**,0,0.5
17,Himmel - Kraft,**EEE**,0,0
17,Haus - System,**EEE**,0,0
17,Stimme - Tätigkeit,**VVV**,0,0
17,Kirche - Zimmer,**EEE**,0,0.5
18,Zeit - Ventil,**EEE**,1,1
18,Zukunft - Hilfe,**VVV**,0,0
18,Liebe - Sprache,**EEE**,1,1
18,Höhe - Kapital,**EEE**,0,0
18,Himmel - Kraft,**VVV**,0,0
18,Spiegel - Fenster,**EEE**,1,1
18,Tochter - Dienst,**VVV**,0,0
18,Wasser - Brief,**EEE**,0,0
18,Stimme - Tätigkeit,**EEE**,0,0
18,Zeichen - Sache,**EEE**,0,0
18,Gegner - Musik,**VVV**,0,0
18,Haus - System,**VVV**,0,0
18,Partei - Herz,**EEE**,1,0.5
18,Kirche - Zimmer,**VVV**,1,1
18,Soldat - Bericht,**VVV**,0,0
18,Staat - Regierung,**VVV**,1,0
18,Gesicht - Verwaltung,**VVV**,0,0
18,Truppe - Uhr,**EEE**,1,1
18,Beziehung - Wunsch,**EEE**,0,0
18,Recht - Frage,**VVV**,0,0
18,Arzt - Klasse,**VVV**,0,0
18,Rahmen - Abend,**EEE**,0,0
18,Seele - Presse,**VVV**,0,0.5
18,Kosten - Jahr,**EEE**,0,0
19,Himmel - Kraft,**EEE**,1,1
19,Zeit - Ventil,**VVV**,0,0
19,Rahmen - Abend,**VVV**,1,0
19,Tochter - Dienst,**EEE**,1,1
19,Staat - Regierung,**EEE**,1,0.5
19,Beziehung - Wunsch,**VVV**,1,0
19,Zukunft - Hilfe,**EEE**,1,0
19,Truppe - Uhr,**VVV**,1,1
19,Stimme - Tätigkeit,**VVV**,0,0
19,Partei - Herz,**VVV**,1,0
19,Kirche - Zimmer,**EEE**,1,1
19,Zeichen - Sache,**VVV**,1,0
19,Recht - Frage,**EEE**,1,0
19,Liebe - Sprache,**VVV**,1,1
19,Gesicht - Verwaltung,**EEE**,1,1
19,Wasser - Brief,**VVV**,1,1
19,Kosten - Jahr,**VVV**,1,0
19,Seele - Presse,**EEE**,0,0
19,Soldat - Bericht,**EEE**,0,0
19,Gegner - Musik,**EEE**,1,1
19,Spiegel - Fenster,**VVV**,1,1
19,Höhe - Kapital,**VVV**,0,0
19,Arzt - Klasse,**EEE**,1,1
19,Haus - System,**EEE**,1,1
20,Zeit - Ventil,**EEE**,0,1
20,Haus - System,**VVV**,0,0
20,Wasser - Brief,**EEE**,1,1
20,Zeichen - Sache,**EEE**,0,0
20,Kosten - Jahr,**EEE**,1,0
20,Höhe - Kapital,**EEE**,1,1
20,Himmel - Kraft,**VVV**,1,0
20,Truppe - Uhr,**EEE**,1,1
20,Arzt - Klasse,**VVV**,0,0
20,Partei - Herz,**EEE**,0,0
20,Seele - Presse,**VVV**,0,0
20,Kirche - Zimmer,**VVV**,1,1
20,Rahmen - Abend,**EEE**,1,0
20,Gegner - Musik,**VVV**,0,0
20,Liebe - Sprache,**EEE**,0,0
20,Tochter - Dienst,**VVV**,0,0
20,Gesicht - Verwaltung,**VVV**,0,0
20,Stimme - Tätigkeit,**EEE**,1,0
20,Zukunft - Hilfe,**VVV**,0,0
20,Spiegel - Fenster,**EEE**,1,0
20,Soldat - Bericht,**VVV**,1,1
20,Staat - Regierung,**VVV**,1,0
20,Beziehung - Wunsch,**EEE**,1,1
20,Recht - Frage,**VVV**,0,0
21,Kirche - Zimmer,**EEE**,1,1
21,Wasser - Brief,**VVV**,0,0
21,Seele - Presse,**EEE**,1,1
21,Beziehung - Wunsch,**VVV**,1,0
21,Gesicht - Verwaltung,**EEE**,0,0
21,Staat - Regierung,**EEE**,0,0
21,Zeichen - Sache,**VVV**,0,0
21,Haus - System,**EEE**,0,0
21,Höhe - Kapital,**VVV**,0,0
21,Rahmen - Abend,**VVV**,0,0
21,Zeit - Ventil,**VVV**,0,0
21,Arzt - Klasse,**EEE**,0,0.5
21,Tochter - Dienst,**EEE**,1,1
21,Gegner - Musik,**EEE**,1,1
21,Spiegel - Fenster,**VVV**,1,0
21,Zukunft - Hilfe,**EEE**,1,1
21,Recht - Frage,**EEE**,1,1
21,Soldat - Bericht,**EEE**,1,1
21,Kosten - Jahr,**VVV**,0,0
21,Himmel - Kraft,**EEE**,1,1
21,Truppe - Uhr,**VVV**,0,0
21,Partei - Herz,**VVV**,0,0
21,Stimme - Tätigkeit,**VVV**,0,0
21,Liebe - Sprache,**VVV**,1,1
22,Partei - Herz,**EEE**,1,1
22,Liebe - Sprache,**EEE**,1,0
22,Rahmen - Abend,**EEE**,1,1
22,Stimme - Tätigkeit,**EEE**,1,1
22,Haus - System,**VVV**,0,0
22,Arzt - Klasse,**VVV**,0,0
22,Zeichen - Sache,**EEE**,0,0
22,Seele - Presse,**VVV**,0,0
22,Kosten - Jahr,**EEE**,0,0
22,Beziehung - Wunsch,**EEE**,0,0
22,Wasser - Brief,**EEE**,1,1
22,Gesicht - Verwaltung,**VVV**,0,0
22,Himmel - Kraft,**VVV**,0,0
22,Staat - Regierung,**VVV**,0,0
22,Zeit - Ventil,**EEE**,1,1
22,Höhe - Kapital,**EEE**,0,0
22,Soldat - Bericht,**VVV**,0,0
22,Gegner - Musik,**VVV**,0,0
22,Kirche - Zimmer,**VVV**,1,1
22,Truppe - Uhr,**EEE**,1,1
22,Zukunft - Hilfe,**VVV**,0,0
22,Tochter - Dienst,**VVV**,1,1
22,Spiegel - Fenster,**EEE**,1,1
22,Recht - Frage,**VVV**,0,0
23,Wasser - Brief,**VVV**,0,0
23,Himmel - Kraft,**EEE**,0,0
23,Spiegel - Fenster,**VVV**,1,0
23,Zeit - Ventil,**VVV**,0,0
23,Soldat - Bericht,**EEE**,1,0
23,Zukunft - Hilfe,**EEE**,0,0
23,Liebe - Sprache,**VVV**,1,1
23,Staat - Regierung,**EEE**,1,1
23,Arzt - Klasse,**EEE**,1,0
23,Tochter - Dienst,**EEE**,1,1
23,Recht - Frage,**EEE**,0,0
23,Kosten - Jahr,**VVV**,0,0
23,Höhe - Kapital,**VVV**,1,1
23,Kirche - Zimmer,**EEE**,1,0
23,Haus - System,**EEE**,0,0
23,Gesicht - Verwaltung,**EEE**,0,0
23,Gegner - Musik,**EEE**,0,0
23,Rahmen - Abend,**VVV**,1,0
23,Seele - Presse,**EEE**,0,0
23,Zeichen - Sache,**VVV**,0,0
23,Beziehung - Wunsch,**VVV**,0,0.5
23,Stimme - Tätigkeit,**VVV**,0,0
23,Truppe - Uhr,**VVV**,0,0
23,Partei - Herz,**VVV**,1,0
24,Kosten - Jahr,**EEE**,0,0
24,Höhe - Kapital,**EEE**,0,0
24,Kirche - Zimmer,**VVV**,0,0
24,Arzt - Klasse,**VVV**,0,0
24,Liebe - Sprache,**EEE**,0,0
24,Rahmen - Abend,**EEE**,1,0
24,Beziehung - Wunsch,**EEE**,1,1
24,Partei - Herz,**EEE**,0,0
24,Haus - System,**VVV**,0,0
24,Zeit - Ventil,**EEE**,0,1
24,Wasser - Brief,**EEE**,1,0.5
24,Tochter - Dienst,**VVV**,0,0
24,Zukunft - Hilfe,**VVV**,0,0
24,Soldat - Bericht,**VVV**,0,0
24,Recht - Frage,**VVV**,0,0
24,Stimme - Tätigkeit,**EEE**,0,0
24,Zeichen - Sache,**EEE**,0,0
24,Staat - Regierung,**VVV**,0,0
24,Gesicht - Verwaltung,**VVV**,0,0
24,Gegner - Musik,**VVV**,0,0
24,Himmel - Kraft,**VVV**,0,0
24,Seele - Presse,**VVV**,0,0
24,Truppe - Uhr,**EEE**,0,0
24,Spiegel - Fenster,**EEE**,0,0
25,Wasser - Brief,**VVV**,0,0
25,Kirche - Zimmer,**EEE**,0,0
25,Staat - Regierung,**EEE**,1,1
25,Spiegel - Fenster,**VVV**,0,0
25,Gesicht - Verwaltung,**EEE**,0,0
25,Stimme - Tätigkeit,**VVV**,0,0
25,Zeichen - Sache,**VVV**,0,0
25,Gegner - Musik,**EEE**,0,0.5
25,Seele - Presse,**EEE**,0,0
25,Tochter - Dienst,**EEE**,0,0
25,Recht - Frage,**EEE**,0,0
25,Haus - System,**EEE**,0,0.5
25,Kosten - Jahr,**VVV**,0,0
25,Liebe - Sprache,**VVV**,0,0.5
25,Partei - Herz,**VVV**,1,0
25,Soldat - Bericht,**EEE**,1,1
25,Arzt - Klasse,**EEE**,0,0
25,Zeit - Ventil,**VVV**,0,0
25,Himmel - Kraft,**EEE**,0,0
25,Rahmen - Abend,**VVV**,0,0
25,Beziehung - Wunsch,**VVV**,1,1
25,Höhe - Kapital,**VVV**,0,0
25,Zukunft - Hilfe,**EEE**,0,0
25,Truppe - Uhr,**VVV**,0,0
26,Kirche - Zimmer,**VVV**,1,1
26,Zukunft - Hilfe,**VVV**,1,1
26,Beziehung - Wunsch,**EEE**,1,1
26,Liebe - Sprache,**EEE**,1,0
26,Gegner - Musik,**VVV**,0,0
26,Kosten - Jahr,**EEE**,0,0.5
26,Höhe - Kapital,**EEE**,1,0
26,Himmel - Kraft,**VVV**,0,0
26,Wasser - Brief,**EEE**,0,0
26,Haus - System,**VVV**,0,0
26,Partei - Herz,**EEE**,0,1
26,Zeit - Ventil,**EEE**,0,0
26,Soldat - Bericht,**VVV**,0,0
26,Zeichen - Sache,**EEE**,1,0
26,Arzt - Klasse,**VVV**,1,1
26,Truppe - Uhr,**EEE**,0,0
26,Stimme - Tätigkeit,**EEE**,0,0
26,Spiegel - Fenster,**EEE**,1,1
26,Rahmen - Abend,**EEE**,0,0.5
26,Gesicht - Verwaltung,**VVV**,1,1
26,Seele - Presse,**VVV**,1,0
26,Tochter - Dienst,**VVV**,0,0
26,Recht - Frage,**VVV**,0,0.5
26,Staat - Regierung,**VVV**,1,1
27,Stimme - Tätigkeit,**VVV**,0,0
27,Seele - Presse,**EEE**,0,0
27,Kirche - Zimmer,**EEE**,0,0
27,Liebe - Sprache,**VVV**,0,0
27,Beziehung - Wunsch,**VVV**,0,0
