"","subject","stim1","stim2","freq","type","procedure","trial","rt","source","freq_prioritem1","freq_prioritem","freq_prioritem2","freq_prioritem3","freq_consec_value","freq_consec_lab","resp","rem","fam","new","acc","duration","onset","list"
"61",1,"pig.pict",NA,"Low","old","test",61,1013,"original","Low","Low","High","High",-0.5,"Low1","NEW",0,0,1,0,2513,434663,"1"
"62",1,"raspberry.pict",NA,NA,"new","test",62,1055,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2555,437176,"1"
"63",1,"duck.pict",NA,"High","old","test",63,1360,"original","Low","Low","Low","Low",-2.5,"Low3","FAM",0,1,0,1,2860,439731,"1"
"64",1,"earth.pict",NA,"High","old","test",64,837,"original","High","High","High","Low",1.5,"High2","REM",1,0,0,1,2337,442591,"1"
"65",1,"grapes.pict",NA,NA,"new","test",65,913,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2413,444928,"1"
"66",1,"balloons.pict",NA,NA,"new","test",66,859,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2359,447341,"1"
"67",1,"skates.pict",NA,"Low","old","test",67,616,"original","Low","Low","Low","Low",-2.5,"Low3","NEW",0,0,1,0,2116,449700,"1"
"68",1,"chair2.pict",NA,NA,"new","test",68,1390,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2890,451816,"1"
"69",1,"camera.pict",NA,"High","old","test",69,797,"original","Low","Low","High","Low",-0.5,"Low1","REM",1,0,0,1,2297,454706,"1"
"70",1,"flower.pict",NA,NA,"new","test",70,986,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2486,457003,"1"
"71",1,"watermelon.pict",NA,NA,"new","test",71,846,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2346,459489,"1"
"72",1,"iron.pict",NA,"Low","old","test",72,1007,"original","High","High","High","Low",1.5,"High2","REM",1,0,0,1,2507,461835,"1"
"73",1,"lighthouse.pict",NA,"Low","old","test",73,1375,"original","Low","Low","High","Low",-0.5,"Low1","FAM",0,1,0,1,2875,464342,"1"
"74",1,"pencil.pict",NA,"High","old","test",74,865,"original","Low","Low","High","High",-0.5,"Low1","REM",1,0,0,1,2365,467217,"1"
"75",1,"drum2.pict",NA,NA,"new","test",75,1048,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2548,469582,"1"
"76",1,"shoes.pict",NA,"High","old","test",76,822,"original","Low","Low","Low","High",-1.5,"Low2","NEW",0,0,1,0,2322,472130,"1"
"77",1,"horse.pict",NA,NA,"new","test",77,1258,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2758,474452,"1"
"78",1,"bride.pict",NA,NA,"new","test",78,775,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2275,477210,"1"
"79",1,"scissors.pict",NA,NA,"new","test",79,1265,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2765,479485,"1"
"80",1,"car.pict",NA,"Low","old","test",80,892,"original","High","High","Low","High",0.5,"High1","REM",1,0,0,1,2392,482250,"1"
"81",1,"zebra.pict",NA,NA,"new","test",81,1937,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,3437,484642,"1"
"82",1,"pot2.pict",NA,"Low","old","test",82,1363,"original","High","High","High","High",2.5,"High3","NEW",0,0,1,0,2863,488079,"1"
"83",1,"apple.pict",NA,"High","old","test",83,1090,"original","High","High","Low",NA,0.5,"High1","REM",1,0,0,1,2590,490942,"1"
"84",1,"tiger.pict",NA,"Low","old","test",84,720,"original","Low","Low","Low","High",-1.5,"Low2","REM",1,0,0,1,2220,493532,"1"
"85",1,"grill.pict",NA,"High","old","test",85,1326,"original","Low","Low","Low","High",-1.5,"Low2","FAM",0,1,0,1,2826,495752,"1"
"86",1,"orange.pict",NA,"Low","old","test",86,694,"original",NA,NA,NA,NA,NA,NA,"REM",1,0,0,1,2194,498578,"1"
"87",1,"refrigerator.pict",NA,"High","old","test",87,647,"original","Low","Low",NA,NA,-0.5,"Low1","REM",1,0,0,1,2147,500772,"1"
"88",1,"baby.pict",NA,"High","old","test",88,571,"original","High","High","Low","High",0.5,"High1","REM",1,0,0,1,2071,502919,"1"
"89",1,"spoon.pict",NA,"Low","old","test",89,1745,"original","Low","Low","High","High",-0.5,"Low1","NEW",0,0,1,0,3245,504990,"1"
"90",1,"bottle2.pict",NA,"Low","old","test",90,910,"original","High","High","Low","Low",0.5,"High1","NEW",0,0,1,0,2410,508235,"1"
"91",1,"lemon.pict",NA,NA,"new","test",91,1390,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2890,510645,"1"
"92",1,"sock.pict",NA,"High","old","test",92,3458,"original","Low","Low","Low","Low",-3.5,"Low4","NEW",0,0,1,0,4958,513535,"1"
"93",1,"violin.pict",NA,NA,"new","test",93,1171,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2671,518493,"1"
"94",1,"knife.pict",NA,"High","old","test",94,1852,"original","High","High","High","Low",1.5,"High2","REM",1,0,0,1,3352,521164,"1"
"95",1,"cup.pict",NA,"Low","old","test",95,951,"original","High","High","Low","High",0.5,"High1","NEW",0,0,1,0,2451,524516,"1"
"96",1,"cheese.pict",NA,NA,"new","test",96,1029,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2529,526967,"1"
"97",1,"stereo.pict",NA,NA,"new","test",97,2014,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,3514,529496,"1"
"98",1,"boots.pict",NA,NA,"new","test",98,1091,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2591,533010,"1"
"99",1,"sheep.pict",NA,NA,"new","test",99,1937,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,3437,535601,"1"
"100",1,"briefcase.pict",NA,NA,"new","test",100,691,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2191,539038,"1"
"101",1,"pumpkins.pict",NA,NA,"new","test",101,2323,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,3823,541229,"1"
"102",1,"stethoscope.pict",NA,NA,"new","test",102,995,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2495,545052,"1"
"103",1,"pineapple.pict",NA,NA,"new","test",103,492,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,1992,547547,"1"
"104",1,"umbrella.pict",NA,"High","old","test",104,363,"original","Low","Low","High","High",-0.5,"Low1","NEW",0,0,1,0,1863,549539,"1"
"105",1,"tomato.pict",NA,NA,"new","test",105,775,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2275,551402,"1"
"106",1,"accordion.pict",NA,NA,"new","test",106,695,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2195,553677,"1"
"107",1,"muffin.pict",NA,NA,"new","test",107,689,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2189,555872,"1"
"108",1,"gloves.pict",NA,"High","old","test",108,1129,"original","High","High","High","Low",1.5,"High2","REM",1,0,0,1,2629,558061,"1"
"109",1,"bike.pict",NA,NA,"new","test",109,1207,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2707,560690,"1"
"110",1,"cannon.pict",NA,NA,"new","test",110,955,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2455,563397,"1"
"111",1,"keyboard.pict",NA,NA,"new","test",111,718,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2218,565852,"1"
"112",1,"elephant.pict",NA,"Low","old","test",112,1034,"original","High","High","High","High",2.5,"High3","REM",1,0,0,1,2534,568070,"1"
"113",1,"lion.pict",NA,NA,"new","test",113,1341,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2841,570604,"1"
"114",1,"stove.pict",NA,"Low","old","test",114,1972,"original","High","High","High","High",2.5,"High3","NEW",0,0,1,0,3472,573445,"1"
"115",1,"basket.pict",NA,"Low","old","test",115,1025,"original","High","High","High","High",2.5,"High3","FAM",0,1,0,1,2525,576917,"1"
"116",1,"corn.pict",NA,NA,"new","test",116,983,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2483,579442,"1"
"117",1,"binoculars.pict",NA,"Low","old","test",117,882,"original","Low","Low","Low","High",-1.5,"Low2","NEW",0,0,1,0,2382,581925,"1"
"118",1,"flag4.pict",NA,NA,"new","test",118,615,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2115,584307,"1"
"119",1,"piano.pict",NA,NA,"new","test",119,573,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2073,586422,"1"
"120",1,"basketball.pict",NA,"Low","old","test",120,1346,"original","High","High","Low","Low",0.5,"High1","FAM",0,1,0,1,2846,588495,"1"
"121",2,"watermelon.pict","BOULDER","Low",NA,"study",1,681,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2181,0,"1"
"122",2,"pot2.pict","OFFICE","High",NA,"study",2,522,"original","Low","Low",NA,NA,-0.5,"Low1",NA,NA,NA,NA,NA,2022,2181,"1"
"123",2,"bowl.pict","MORPHINE","Low",NA,"study",3,815,"original","High","High","Low",NA,0.5,"High1",NA,NA,NA,NA,NA,2315,4203,"1"
"124",2,"scissors.pict","RACKET","Low",NA,"study",4,653,"original","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,2153,6518,"1"
"125",2,"bike.pict","RECORD","High",NA,"study",5,603,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2103,8671,"1"
"126",2,"knife.pict","BOARD","High",NA,"study",6,703,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,2203,10774,"1"
"127",2,"cheese.pict","HOSPITAL","High",NA,"study",7,600,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,2100,12977,"1"
"128",2,"violin.pict","SATIN","Low",NA,"study",8,692,"original","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,2192,15077,"1"
"129",2,"boots.pict","MIXER","Low",NA,"study",9,547,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2047,17269,"1"
"130",2,"stereo.pict","LETTER","High",NA,"study",10,894,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2394,19316,"1"
"131",2,"bacon.pict","BEVERAGE","Low",NA,"study",11,647,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,2147,21710,"1"
"132",2,"raspberry.pict","MINSTREL","Low",NA,"study",12,801,"original","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,2301,23857,"1"
"133",2,"computer.pict","VAULT","Low",NA,"study",13,588,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2088,26158,"1"
"134",2,"camera.pict","WALLET","Low",NA,"study",14,596,"original","Low","Low","Low","Low",-2.5,"Low3",NA,NA,NA,NA,NA,2096,28246,"1"
"135",2,"butterfly.pict","WHEEL","High",NA,"study",15,528,"original","Low","Low","Low","Low",-3.5,"Low4",NA,NA,NA,NA,NA,2028,30342,"1"
"136",2,"dog.pict","POSTER","Low",NA,"study",16,756,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,2256,32370,"1"
"137",2,"mushroom.pict","TAILOR","Low",NA,"study",17,673,"original","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,2173,34626,"1"
"138",2,"balloons.pict","HOTEL","High",NA,"study",18,703,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2203,36799,"1"
"139",2,"gloves.pict","MOUTH","High",NA,"study",19,584,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,2084,39002,"1"
"140",2,"pepper.pict","CORNER","High",NA,"study",20,873,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,2373,41086,"1"
"141",2,"stove.pict","VOTER","Low",NA,"study",21,690,"original","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,2190,43459,"1"
"142",2,"table.pict","KNUCKLE","Low",NA,"study",22,574,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2074,45649,"1"
"143",2,"drum2.pict","NAPKIN","Low",NA,"study",23,745,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2245,47723,"1"
"144",2,"horse.pict","MECHANIC","Low",NA,"study",24,619,"original","Low","Low","Low","Low",-2.5,"Low3",NA,NA,NA,NA,NA,2119,49968,"1"
"145",2,"owl.pict","CHILDREN","High",NA,"study",25,721,"original","Low","Low","Low","Low",-3.5,"Low4",NA,NA,NA,NA,NA,2221,52087,"1"
"146",2,"salad.pict","DRESS","High",NA,"study",26,652,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,2152,54308,"1"
"147",2,"squash.pict","HUSBAND","High",NA,"study",27,603,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,2103,56460,"1"
"148",2,"guitar.pict","SMILE","High",NA,"study",28,733,"original","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,2233,58563,"1"
"149",2,"lighthouse.pict","AUDIENCE","High",NA,"study",29,620,"original","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,2120,60796,"1"
"150",2,"grill.pict","PAPER","High",NA,"study",30,739,"original","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,2239,62916,"1"
"151",2,"calculator.pict","PASTE","Low",NA,"study",31,831,"original","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,2331,65155,"1"
"152",2,"corn.pict","STATION","High",NA,"study",32,924,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2424,67486,"1"
"153",2,"pig.pict","CRUMB","Low",NA,"study",33,721,"original","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,2221,69910,"1"
"154",2,"strawberry2.pict","BOUQUET","Low",NA,"study",34,682,"original","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,2182,72131,"1"
"155",2,"shoes.pict","COLUMN","High",NA,"study",35,503,"original","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2003,74313,"1"
"156",2,"car.pict","CROWD","High",NA,"study",36,752,"original","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,2252,76316,"1"
"157",2,"flag4.pict","MORNING","High",NA,"study",37,661,"original","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,2161,78568,"1"
"158",2,"pineapple.pict","STAIR","Low",NA,"study",38,814,"original","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,2314,80729,"1"
"159",2,"sock.pict","CHIEF","High",NA,"study",39,654,"original","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2154,83043,"1"
"160",2,"umbrella.pict","PENDULUM","Low",NA,"study",40,770,"original","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,2270,85197,"1"
"161",2,"balloons.pict",NA,"High","old","test",41,2589,"original","Low","Low","Low","High",-1.5,"Low2","REM",1,0,0,1,4089,387467,"1"
"162",2,"dice.pict",NA,NA,"new","test",42,1085,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2585,391556,"1"
"163",2,"pig.pict",NA,"Low","old","test",43,1345,"original","High","High","Low","High",0.5,"High1","REM",1,0,0,1,2845,394141,"1"
"164",2,"piano.pict",NA,NA,"new","test",44,1346,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2846,396986,"1"
"165",2,"owl.pict",NA,"High","old","test",45,1350,"original","Low","Low","Low","Low",-3.5,"Low4","REM",1,0,0,1,2850,399832,"1"
"166",2,"bacon.pict",NA,"Low","old","test",46,1144,"original","High","High","Low","Low",0.5,"High1","REM",1,0,0,1,2644,402682,"1"
"167",2,"elephant.pict",NA,NA,"new","test",47,1356,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2856,405326,"1"
"168",2,"umbrella.pict",NA,"Low","old","test",48,1265,"original","High","High","Low","High",0.5,"High1","FAM",0,1,0,1,2765,408182,"1"
"169",2,"cow.pict",NA,NA,"new","test",49,1289,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2789,410947,"1"
"170",2,"briefcase.pict",NA,NA,"new","test",50,1126,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2626,413736,"1"
"171",2,"computer.pict",NA,"Low","old","test",51,1017,"original","Low","Low","Low","High",-1.5,"Low2","REM",1,0,0,1,2517,416362,"1"
"172",2,"egg.pict",NA,NA,"new","test",52,1066,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2566,418879,"1"
"173",2,"bike.pict",NA,"High","old","test",53,1321,"original","Low","Low","Low","High",-1.5,"Low2","FAM",0,1,0,1,2821,421445,"1"
"174",2,"lighthouse.pict",NA,"High","old","test",54,1491,"original","High","High","High","High",3.5,"High4","FAM",0,1,0,1,2991,424266,"1"
"175",2,"car.pict",NA,"High","old","test",55,2728,"original","High","High","Low","Low",0.5,"High1","NEW",0,0,1,0,4228,427257,"1"
"176",2,"scissors.pict",NA,"Low","old","test",56,1257,"original","Low","Low","High","Low",-0.5,"Low1","REM",1,0,0,1,2757,431485,"1"
"177",2,"table.pict",NA,"Low","old","test",57,991,"original","Low","Low","High","High",-0.5,"Low1","REM",1,0,0,1,2491,434242,"1"
"178",2,"mushroom.pict",NA,"Low","old","test",58,845,"original","Low","Low","High","Low",-0.5,"Low1","REM",1,0,0,1,2345,436733,"1"
"179",2,"dog.pict",NA,"Low","old","test",59,1220,"original","High","High","Low","Low",0.5,"High1","NEW",0,0,1,0,2720,439078,"1"
"180",2,"duck.pict",NA,NA,"new","test",60,1131,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2631,441798,"1"
"181",2,"bottle2.pict",NA,NA,"new","test",61,1095,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2595,444429,"1"
"182",2,"earth.pict",NA,NA,"new","test",62,1187,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2687,447024,"1"
"183",2,"sock.pict",NA,"High","old","test",63,1045,"original","Low","Low","High","High",-0.5,"Low1","REM",1,0,0,1,2545,449711,"1"
"184",2,"tiger.pict",NA,NA,"new","test",64,832,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2332,452256,"1"
"185",2,"knife.pict",NA,"High","old","test",65,1339,"original","High","High","Low","Low",0.5,"High1","FAM",0,1,0,1,2839,454588,"1"
