"encodingTASK","studyorder","studyrating","newSS","cond","testtria","studytria","stim1","stim2","newresp","response","whichblockfirst","cv","subject","cuefreq","targetfreq","bothfreq","acc","procedure","trial","duration","onset","list"
2,2,1,1,1,15,13,"dominance",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",33,2750,148000,1
2,2,4,1,1,16,2,"farmland",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",34,2750,150750,1
2,1,1,1,1,17,16,"underside",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",35,2750,153500,1
2,2,1,1,1,18,5,"construct",NA,2,"no",1,"HCV",1,"LF","LF","LF",0,"test",36,92750,156250,1
2,1,6,1,1,13,1,"intake","retina",1,"retina",1,"LCV",1,"LF","LF","LF",1,"study",37,2750,249000,2
2,1,1,1,1,14,2,"colt","epidermis",0,"prism",1,"LCV",1,"LF","LF","LF",0,"study",38,2750,251750,2
2,2,1,1,1,17,3,"cartilage","torque",2,"no",1,"LCV",1,"LF","LF","LF",0,"study",39,2750,254500,2
2,2,8,1,1,3,4,"proton","ion",1,"ion",1,"LCV",1,"LF","LF","LF",1,"study",40,2750,257250,2
2,2,2,1,1,12,5,"prism","nicotine",1,"nicotine",1,"LCV",1,"LF","LF","LF",1,"study",41,2750,260000,2
2,1,2,1,1,18,6,"turbine","tundra",2,"no",1,"LCV",1,"LF","LF","LF",0,"study",42,2750,262750,2
2,1,1,1,1,10,7,"equity","mucus",2,"no",1,"LCV",1,"LF","LF","LF",0,"study",43,2750,265500,2
2,1,5,1,1,5,8,"shoemaker","sheriff",0,"soccer player",1,"LCV",1,"LF","LF","LF",0,"study",44,2750,268250,2
2,2,3,1,1,2,9,"saturn","mole",1,"mole",1,"LCV",1,"LF","LF","LF",1,"study",45,2750,271000,2
2,2,4,1,1,6,10,"vector","tubing",0,"tunnel",1,"LCV",1,"LF","LF","LF",0,"study",46,2750,273750,2
2,2,1,1,1,1,11,"alligator","iris",1,"iris",1,"LCV",1,"LF","LF","LF",1,"study",47,2750,276500,2
2,1,1,1,1,15,12,"flask","memorandum",2,"no",1,"LCV",1,"LF","LF","LF",0,"study",48,2750,279250,2
2,1,1,1,1,4,13,"cortex","abbot",2,"no",1,"LCV",1,"LF","LF","LF",0,"study",49,2750,282000,2
2,2,2,1,1,7,14,"tailor","soccer",0,"shoemaker",1,"LCV",1,"LF","LF","LF",0,"study",50,2750,284750,2
2,1,3,1,1,16,15,"heroin","oxidation",2,"no",1,"LCV",1,"LF","LF","LF",0,"study",51,2750,287500,2
2,2,1,1,1,8,16,"electromagnet","dictation",2,"no",1,"LCV",1,"LF","LF","LF",0,"study",52,2750,290250,2
2,1,1,1,1,9,17,"valence","urine",1,"urine",1,"LCV",1,"LF","LF","LF",1,"study",53,2750,293000,2
2,2,8,1,1,11,18,"moose","camel",1,"camel",1,"LCV",1,"LF","LF","LF",1,"study",54,62750,295750,2
2,2,1,1,1,1,11,"alligator",NA,1,"iris",1,"LCV",1,"LF","LF","LF",1,"test",55,2750,358500,2
2,2,3,1,1,2,9,"saturn",NA,1,"mole",1,"LCV",1,"LF","LF","LF",1,"test",56,2750,361250,2
2,2,8,1,1,3,4,"proton",NA,1,"ion",1,"LCV",1,"LF","LF","LF",1,"test",57,2750,364000,2
2,1,1,1,1,4,13,"cortex",NA,2,"no",1,"LCV",1,"LF","LF","LF",0,"test",58,2750,366750,2
2,1,5,1,1,5,8,"shoemaker",NA,0,"soccer player",1,"LCV",1,"LF","LF","LF",0,"test",59,2750,369500,2
2,2,4,1,1,6,10,"vector",NA,0,"tunnel",1,"LCV",1,"LF","LF","LF",0,"test",60,2750,372250,2
2,2,2,1,1,7,14,"tailor",NA,0,"shoemaker",1,"LCV",1,"LF","LF","LF",0,"test",61,2750,375000,2
2,2,1,1,1,8,16,"electromagnet",NA,2,"no",1,"LCV",1,"LF","LF","LF",0,"test",62,2750,377750,2
2,1,1,1,1,9,17,"valence",NA,1,"urine",1,"LCV",1,"LF","LF","LF",1,"test",63,2750,380500,2
2,1,1,1,1,10,7,"equity",NA,2,"no",1,"LCV",1,"LF","LF","LF",0,"test",64,2750,383250,2
2,2,8,1,1,11,18,"moose",NA,1,"camel",1,"LCV",1,"LF","LF","LF",1,"test",65,2750,386000,2
2,2,2,1,1,12,5,"prism",NA,1,"nicotine",1,"LCV",1,"LF","LF","LF",1,"test",66,2750,388750,2
2,1,6,1,1,13,1,"intake",NA,1,"retina",1,"LCV",1,"LF","LF","LF",1,"test",67,2750,391500,2
2,1,1,1,1,14,2,"colt",NA,0,"prism",1,"LCV",1,"LF","LF","LF",0,"test",68,2750,394250,2
2,1,1,1,1,15,12,"flask",NA,2,"no",1,"LCV",1,"LF","LF","LF",0,"test",69,2750,397000,2
2,1,3,1,1,16,15,"heroin",NA,2,"no",1,"LCV",1,"LF","LF","LF",0,"test",70,2750,399750,2
2,2,1,1,1,17,3,"cartilage",NA,2,"no",1,"LCV",1,"LF","LF","LF",0,"test",71,2750,402500,2
2,1,2,1,1,18,6,"turbine",NA,2,"no",1,"LCV",1,"LF","LF","LF",0,"test",72,92750,405250,2
2,1,8,1,2,1,1,"importance","idea",1,"idea",1,"HCV",1,"HF","HF","HF",1,"study",73,2750,498000,3
2,2,5,1,2,5,2,"attention","area",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",74,2750,500750,3
2,1,3,1,2,15,3,"expression","event",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",75,2750,503500,3
2,1,6,1,2,17,4,"authority","attitude",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",76,2750,506250,3
2,2,5,1,2,6,5,"generation","fact",1,"fact",1,"HCV",1,"HF","HF","HF",1,"study",77,2750,509000,3
2,2,6,1,2,4,6,"justice","influence",1,"influence",1,"HCV",1,"HF","HF","HF",1,"study",78,2750,511750,3
2,2,4,1,2,12,7,"location","length",1,"length",1,"HCV",1,"HF","HF","HF",1,"study",79,2750,514500,3
2,1,3,1,2,7,8,"knowledge","kitchen",1,"kitchen",1,"HCV",1,"HF","HF","HF",1,"study",80,2750,517250,3
2,1,9,1,2,18,9,"majority","loss",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",81,2750,520000,3
2,1,1,1,2,10,10,"mile","member",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",82,2750,522750,3
2,1,5,1,2,14,11,"appearance","afternoon",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",83,2750,525500,3
2,1,7,1,2,2,12,"action","ability",1,"ability",1,"HCV",1,"HF","HF","HF",1,"study",84,2750,528250,3
2,2,6,1,2,16,13,"month","moment",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",85,2750,531000,3
2,1,4,1,2,11,14,"height","hall",1,"hall",1,"HCV",1,"HF","HF","HF",1,"study",86,2750,533750,3
2,2,4,1,2,8,15,"addition","activity",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",87,2750,536500,3
2,2,3,1,2,3,16,"breath","basis",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",88,2750,539250,3
2,2,1,1,2,9,17,"meal","manner",2,"no",1,"HCV",1,"HF","HF","HF",0,"study",89,2750,542000,3
2,2,8,1,2,13,18,"hour","history",1,"history",1,"HCV",1,"HF","HF","HF",1,"study",90,62750,544750,3
2,1,8,1,2,1,1,"importance",NA,1,"idea",1,"HCV",1,"HF","HF","HF",1,"test",91,2750,607500,3
2,1,7,1,2,2,12,"action",NA,1,"ability",1,"HCV",1,"HF","HF","HF",1,"test",92,2750,610250,3
2,2,3,1,2,3,16,"breath",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",93,2750,613000,3
2,2,6,1,2,4,6,"justice",NA,1,"influence",1,"HCV",1,"HF","HF","HF",1,"test",94,2750,615750,3
2,2,5,1,2,5,2,"attention",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",95,2750,618500,3
2,2,5,1,2,6,5,"generation",NA,1,"fact",1,"HCV",1,"HF","HF","HF",1,"test",96,2750,621250,3
2,1,3,1,2,7,8,"knowledge",NA,1,"kitchen",1,"HCV",1,"HF","HF","HF",1,"test",97,2750,624000,3
2,2,4,1,2,8,15,"addition",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",98,2750,626750,3
2,2,1,1,2,9,17,"meal",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",99,2750,629500,3
2,1,1,1,2,10,10,"mile",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",100,2750,632250,3
2,1,4,1,2,11,14,"height",NA,1,"hall",1,"HCV",1,"HF","HF","HF",1,"test",101,2750,635000,3
2,2,4,1,2,12,7,"location",NA,1,"length",1,"HCV",1,"HF","HF","HF",1,"test",102,2750,637750,3
2,2,8,1,2,13,18,"hour",NA,1,"history",1,"HCV",1,"HF","HF","HF",1,"test",103,2750,640500,3
2,1,5,1,2,14,11,"appearance",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",104,2750,643250,3
2,1,3,1,2,15,3,"expression",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",105,2750,646000,3
2,2,6,1,2,16,13,"month",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",106,2750,648750,3
2,1,6,1,2,17,4,"authority",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",107,2750,651500,3
2,1,9,1,2,18,9,"majority",NA,2,"no",1,"HCV",1,"HF","HF","HF",0,"test",108,92750,654250,3
2,2,3,1,2,18,1,"theory","oxygen",1,"oxygen",1,"LCV",1,"HF","HF","HF",1,"study",109,2750,747000,4
2,1,4,1,2,15,2,"percent","colony",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",110,2750,749750,4
2,1,1,1,2,5,3,"tube","topic",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",111,2750,752500,4
2,2,2,1,2,8,4,"slavery","reaction",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",112,2750,755250,4
2,2,4,1,2,16,5,"river","column",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",113,2750,758000,4
2,1,1,1,2,12,6,"car","constitution",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",114,2750,760750,4
2,1,7,1,2,13,7,"element","environment",0,"ion",1,"LCV",1,"HF","HF","HF",0,"study",115,2750,763500,4
2,1,6,1,2,17,8,"entry","education",0,"environment",1,"LCV",1,"HF","HF","HF",0,"study",116,2750,766250,4
2,2,1,1,2,1,9,"ocean","fig",1,"fig",1,"LCV",1,"HF","HF","HF",1,"study",117,2750,769000,4
2,1,6,1,2,2,10,"electron","organism",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",118,2750,771750,4
2,2,2,1,2,3,11,"policy","planet",1,"planet",1,"LCV",1,"HF","HF","HF",1,"study",119,2750,774500,4
2,2,2,1,2,14,12,"nucleus","climate",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",120,2750,777250,4
2,1,1,1,2,4,13,"computer","bird",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",121,2750,780000,4
2,2,9,1,2,6,14,"dad","food",1,"food",1,"LCV",1,"HF","HF","HF",1,"study",122,2750,782750,4
2,2,2,1,2,7,15,"king","electricity",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",123,2750,785500,4
2,2,5,1,2,9,16,"journal","health",1,"health",1,"LCV",1,"HF","HF","HF",1,"study",124,2750,788250,4
2,1,9,1,2,10,17,"empire","emperor",1,"emperor",1,"LCV",1,"HF","HF","HF",1,"study",125,2750,791000,4
2,1,2,1,2,11,18,"equator","ledger",2,"no",1,"LCV",1,"HF","HF","HF",0,"study",126,62750,793750,4
2,2,1,1,2,1,9,"ocean",NA,1,"fig",1,"LCV",1,"HF","HF","HF",1,"test",127,2750,856500,4
2,1,6,1,2,2,10,"electron",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",128,2750,859250,4
2,2,2,1,2,3,11,"policy",NA,1,"planet",1,"LCV",1,"HF","HF","HF",1,"test",129,2750,862000,4
2,1,1,1,2,4,13,"computer",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",130,2750,864750,4
2,1,1,1,2,5,3,"tube",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",131,2750,867500,4
2,2,9,1,2,6,14,"dad",NA,1,"food",1,"LCV",1,"HF","HF","HF",1,"test",132,2750,870250,4
2,2,2,1,2,7,15,"king",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",133,2750,873000,4
2,2,2,1,2,8,4,"slavery",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",134,2750,875750,4
2,2,5,1,2,9,16,"journal",NA,1,"health",1,"LCV",1,"HF","HF","HF",1,"test",135,2750,878500,4
2,1,9,1,2,10,17,"empire",NA,1,"emperor",1,"LCV",1,"HF","HF","HF",1,"test",136,2750,881250,4
2,1,2,1,2,11,18,"equator",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",137,2750,884000,4
2,1,1,1,2,12,6,"car",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",138,2750,886750,4
2,1,7,1,2,13,7,"element",NA,0,"ion",1,"LCV",1,"HF","HF","HF",0,"test",139,2750,889500,4
2,2,2,1,2,14,12,"nucleus",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",140,2750,892250,4
2,1,4,1,2,15,2,"percent",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",141,2750,895000,4
2,2,4,1,2,16,5,"river",NA,2,"no",1,"LCV",1,"HF","HF","HF",0,"test",142,2750,897750,4
2,1,6,1,2,17,8,"entry",NA,0,"environment",1,"LCV",1,"HF","HF","HF",0,"test",143,2750,900500,4
2,2,3,1,2,18,1,"theory",NA,1,"oxygen",1,"LCV",1,"HF","HF","HF",1,"test",144,92750,903250,4
2,1,4,1,3,3,1,"dinner","orchard",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",145,2750,996000,5
2,1,4,1,3,9,2,"decision","obligation",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",146,2750,998750,5
2,1,6,1,3,14,3,"morning","pickup",1,"pickup",1,"HCV",1,"HF","LF","MF",1,"study",147,2750,1001500,5
2,2,9,1,3,6,4,"defense","odor",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",148,2750,1004250,5
2,2,1,1,3,10,5,"dirt","parlor",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",149,2750,1007000,5
2,2,6,1,3,18,6,"nature","pottery",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",150,2750,1009750,5
2,1,2,1,3,4,7,"operation","prayer",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",151,2750,1012500,5
2,2,1,1,3,16,8,"path","presentation",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",152,2750,1015250,5
2,1,6,1,3,12,9,"quality","publication",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",153,2750,1018000,5
2,2,3,1,3,1,10,"religion","publicity",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",154,2750,1020750,5
2,1,2,1,3,11,11,"performance","preservation",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",155,2750,1023500,5
2,1,2,1,3,5,12,"role","realm",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",156,2750,1026250,5
2,2,4,1,3,2,13,"protection","priority",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",157,2750,1029000,5
2,2,6,1,3,7,14,"shirt","rebellion",1,"rebellion",1,"HCV",1,"HF","LF","MF",1,"study",158,2750,1031750,5
2,1,5,1,3,8,15,"situation","relaxation",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",159,2750,1034500,5
2,2,2,1,3,13,16,"evening","philosopher",1,"philosopher",1,"HCV",1,"HF","LF","MF",1,"study",160,2750,1037250,5
2,2,3,1,3,15,17,"song","restoration",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",161,2750,1040000,5
2,1,7,1,3,17,18,"enemy","persuasion",2,"no",1,"HCV",1,"HF","LF","MF",0,"study",162,62750,1042750,5
2,2,3,1,3,1,10,"religion",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",163,2750,1105500,5
2,2,4,1,3,2,13,"protection",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",164,2750,1108250,5
2,1,4,1,3,3,1,"dinner",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",165,2750,1111000,5
2,1,2,1,3,4,7,"operation",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",166,2750,1113750,5
2,1,2,1,3,5,12,"role",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",167,2750,1116500,5
2,2,9,1,3,6,4,"defense",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",168,2750,1119250,5
2,2,6,1,3,7,14,"shirt",NA,1,"rebellion",1,"HCV",1,"HF","LF","MF",1,"test",169,2750,1122000,5
2,1,5,1,3,8,15,"situation",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",170,2750,1124750,5
2,1,4,1,3,9,2,"decision",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",171,2750,1127500,5
2,2,1,1,3,10,5,"dirt",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",172,2750,1130250,5
2,1,2,1,3,11,11,"performance",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",173,2750,1133000,5
2,1,6,1,3,12,9,"quality",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",174,2750,1135750,5
2,2,2,1,3,13,16,"evening",NA,1,"philosopher",1,"HCV",1,"HF","LF","MF",1,"test",175,2750,1138500,5
2,1,6,1,3,14,3,"morning",NA,1,"pickup",1,"HCV",1,"HF","LF","MF",1,"test",176,2750,1141250,5
2,2,3,1,3,15,17,"song",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",177,2750,1144000,5
2,2,1,1,3,16,8,"path",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",178,2750,1146750,5
2,1,7,1,3,17,18,"enemy",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",179,2750,1149500,5
2,2,6,1,3,18,6,"nature",NA,2,"no",1,"HCV",1,"HF","LF","MF",0,"test",180,92750,1152250,5
2,1,3,1,3,14,1,"latin","rehearsal",1,"rehersal",1,"LCV",1,"HF","LF","MF",1,"study",181,2750,1245000,6
2,2,1,1,3,3,2,"christmas","sediment",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",182,2750,1247750,6
2,1,1,1,3,13,3,"gravity","polo",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",183,2750,1250500,6
2,2,1,1,3,15,4,"radiation","pulley",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",184,2750,1253250,6
2,2,6,1,3,4,5,"atmosphere","carburetor",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",185,2750,1256000,6
2,2,4,1,3,10,6,"insurance","penicillin",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",186,2750,1258750,6
2,2,2,1,3,11,7,"temperature","capsule",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",187,2750,1261500,6
2,1,1,1,3,5,8,"customer","inca",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",188,2750,1264250,6
2,1,1,1,3,6,9,"hydrogen","quotation",0,"atmosphere",1,"LCV",1,"HF","LF","MF",0,"study",189,2750,1267000,6
2,1,6,1,3,1,10,"clay","recipe",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",190,2750,1269750,6
2,1,3,1,3,2,11,"employer","quantum",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",191,2750,1272500,6
2,2,9,1,3,7,12,"child","popcorn",1,"popcorn",1,"LCV",1,"HF","LF","MF",1,"study",192,2750,1275250,6
2,2,2,1,3,8,13,"grandfather","iodine",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",193,2750,1278000,6
2,1,3,1,3,9,14,"solution","matrix",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",194,2750,1280750,6
2,2,3,1,3,16,15,"blood","cacao",0,"matrix",1,"LCV",1,"HF","LF","MF",0,"study",195,2750,1283500,6
2,1,8,1,3,12,16,"behavior","dinosaur",1,"dinosaur",1,"LCV",1,"HF","LF","MF",1,"study",196,2750,1286250,6
2,2,2,1,3,17,17,"atom","radiator",2,"no",1,"LCV",1,"HF","LF","MF",0,"study",197,2750,1289000,6
2,1,7,1,3,18,18,"tissue","immunity",1,"immunity",1,"LCV",1,"HF","LF","MF",1,"study",198,62750,1291750,6
2,1,6,1,3,1,10,"clay",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",199,2750,1354500,6
2,1,3,1,3,2,11,"employer",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",200,2750,1357250,6
2,2,1,1,3,3,2,"christmas",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",201,2750,1360000,6
2,2,6,1,3,4,5,"atmosphere",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",202,2750,1362750,6
2,1,1,1,3,5,8,"customer",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",203,2750,1365500,6
2,1,1,1,3,6,9,"hydrogen",NA,0,"atmosphere",1,"LCV",1,"HF","LF","MF",0,"test",204,2750,1368250,6
2,2,9,1,3,7,12,"child",NA,1,"popcorn",1,"LCV",1,"HF","LF","MF",1,"test",205,2750,1371000,6
2,2,2,1,3,8,13,"grandfather",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",206,2750,1373750,6
2,1,3,1,3,9,14,"solution",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",207,2750,1376500,6
2,2,4,1,3,10,6,"insurance",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",208,2750,1379250,6
2,2,2,1,3,11,7,"temperature",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",209,2750,1382000,6
2,1,8,1,3,12,16,"behavior",NA,1,"dinosaur",1,"LCV",1,"HF","LF","MF",1,"test",210,2750,1384750,6
2,1,1,1,3,13,3,"gravity",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",211,2750,1387500,6
2,1,3,1,3,14,1,"latin",NA,1,"rehersal",1,"LCV",1,"HF","LF","MF",1,"test",212,2750,1390250,6
2,2,1,1,3,15,4,"radiation",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",213,2750,1393000,6
2,2,3,1,3,16,15,"blood",NA,0,"matrix",1,"LCV",1,"HF","LF","MF",0,"test",214,2750,1395750,6
2,2,2,1,3,17,17,"atom",NA,2,"no",1,"LCV",1,"HF","LF","MF",0,"test",215,2750,1398500,6
2,1,7,1,3,18,18,"tissue",NA,1,"immunity",1,"LCV",1,"HF","LF","MF",1,"test",216,92750,1401250,6
2,1,4,1,4,13,1,"industrialization","transportation",1,"transportation",1,"HCV",1,"LF","HF","MF",1,"study",217,2750,1494000,7
2,2,1,1,4,10,2,"illusion","today",2,"no",1,"HCV",1,"LF","HF","MF",0,"study",218,2750,1496750,7
2,1,8,1,4,14,3,"hobby","thing",2,"no",1,"HCV",1,"LF","HF","MF",0,"study",219,2750,1499500,7
2,1,3,1,4,1,4,"integration","university",0,"intelligence",1,"HCV",1,"LF","HF","MF",0,"study",220,2750,1502250,7
2,2,6,1,4,17,5,"inquiry","truth",2,"no",1,"HCV",1,"LF","HF","MF",0,"study",221,2750,1505000,7
2,2,3,1,4,15,6,"invasion","variety",2,"no",1,"HCV",1,"LF","HF","MF",0,"study",222,2750,1507750,7
2,1,1,1,4,4,7,"invitation","wealth",2,"no",1,"HCV",1,"LF","HF","MF",0,"study",223,2750,1510500,7
